epoch,ood_ll_var_1,seed,n_train,frequency
9999,-1680.8842136271505,0,64,1
19999,-1290.9215580260286,0,64,1
29999,-1143.0811840410895,0,64,1
30000,-1143.0811840410895,0,64,1
