epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-417315.232,-416085.152,-724016.704,-28787261.44,-3011625615.36,1,sbvi,0,1000,1.0
10000,-0.016996387481689454,0.14924761962890626,-3.9343212890625,-126233.44,-26073622.528,1,sbvi,0,1000,1.0
20000,-1.230293701171875,-1.689090087890625,-4.82615625,-7056.3635,-1127096.704,1,sbvi,0,1000,1.0
30000,0.7323612060546875,0.535573974609375,-0.7975318603515625,-2938.6015,-372973.44,1,sbvi,0,1000,1.0
40000,0.7325400390625,0.5534458618164062,-3.383788818359375,-420.813625,-55644.416,1,sbvi,0,1000,1.0
50000,0.87418505859375,0.6145584716796875,-3.35705908203125,-241.19325,-38017.12,1,sbvi,0,1000,1.0
60000,0.38251901245117187,-0.053035850524902346,-3.1551015625,-233.218828125,-36679.152,1,sbvi,0,1000,1.0
70000,0.85676708984375,0.7325154418945312,-2.93808056640625,-435.68409375,-65695.712,1,sbvi,0,1000,1.0
80000,0.4992922668457031,0.5129674072265625,-2.810852294921875,-284.063875,-40141.94,1,sbvi,0,1000,1.0
90000,-0.7004306640625,-0.7050343627929687,-3.16325048828125,-274.4551875,-41651.768,1,sbvi,0,1000,1.0
