epoch,ood_ll_var_0.3,temperature,posterior_type,seed,n_train,frequency
999,-29.516002149381144,1,sbvi,0,64,1
1999,-28.815639031023732,1,sbvi,0,64,1
2999,-28.979864968151603,1,sbvi,0,64,1
3999,-28.372394837794907,1,sbvi,0,64,1
4999,-30.07639354173338,1,sbvi,0,64,1
5999,-30.331423643199145,1,sbvi,0,64,1
6999,-29.573866148350177,1,sbvi,0,64,1
7999,-29.45973881674974,1,sbvi,0,64,1
8999,-31.702027268903603,1,sbvi,0,64,1
9999,-35.29534632857803,1,sbvi,0,64,1
10999,-40.789945892392225,1,sbvi,0,64,1
11999,-36.12161948458454,1,sbvi,0,64,1
12999,-30.910807334312853,1,sbvi,0,64,1
13999,-31.607623514489628,1,sbvi,0,64,1
14999,-35.59321504306009,1,sbvi,0,64,1
15999,-34.0988303186615,1,sbvi,0,64,1
16999,-41.404657154668485,1,sbvi,0,64,1
17999,-35.04245614383515,1,sbvi,0,64,1
18999,-33.57721222529683,1,sbvi,0,64,1
