epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-2616155.648,-4163328.512,-6117724.672,-8116155.904,-7768775.168,0.1,mfvi,1,10,0.25
20000,-1332680.064,-1177988.352,-2855849.728,-6839882.752,-6504842.752,0.1,mfvi,1,10,0.25
40000,-1325816.576,-1188785.92,-2191878.656,-5020494.848,-4580594.688,0.1,mfvi,1,10,0.25
60000,-1220636.544,-1017048.448,-1993105.408,-3813112.576,-4273488.896,0.1,mfvi,1,10,0.25
80000,-1000485.824,-850467.648,-1726934.4,-3562390.272,-3744743.936,0.1,mfvi,1,10,0.25
