epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-2616136.704,-4163299.584,-6126047.232,-8116091.392,-7767080.96,0.001,mfvi,1,10,2
20000,-1209935.872,-1117053.696,-2939624.192,-7517502.976,-7387047.424,0.001,mfvi,1,10,2
40000,-1121293.824,-1147387.008,-2710602.24,-7182339.072,-7029155.84,0.001,mfvi,1,10,2
60000,-1134073.344,-1155784.96,-2576361.216,-6967736.832,-6971752.448,0.001,mfvi,1,10,2
80000,-1161682.688,-1166791.68,-2531973.12,-6852841.984,-7117776.896,0.001,mfvi,1,10,2
