epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,seed,n_train,frequency
0,-5761.971,-5491.101,-9633.623,-546784.256,-54503653.376,0,1000,1.0
5000,0.6060759887695313,0.6460443725585937,0.1471116943359375,-5086.409,-750931.328,0,1000,1.0
10000,0.8895184936523437,0.8588078002929688,0.7769159545898437,-4104.50525,-701659.648,0,1000,1.0
15000,0.88612744140625,0.8573157958984375,0.8183367309570313,-1976.8265,-411165.696,0,1000,1.0
20000,0.8801194458007813,0.855736083984375,0.8274256591796875,-1079.803125,-350598.944,0,1000,1.0
25000,0.8822263793945313,0.8512184448242187,0.8306607666015625,-1180.200125,-389295.136,0,1000,1.0
30000,0.8803887939453126,0.850833984375,0.8334003295898438,-1875.9125,-534084.192,0,1000,1.0
35000,0.8807762451171876,0.8490204467773438,0.834180419921875,-2241.8375,-612932.416,0,1000,1.0
40000,0.8813596801757813,0.8467988891601562,0.8337926025390625,-2833.3595,-711906.944,0,1000,1.0
45000,0.8807554321289063,0.8465330810546875,0.8335419311523438,-3144.773,-772769.472,0,1000,1.0
50000,0.8788427734375,0.8475272827148438,0.8331982421875,-3362.20325,-814951.808,0,1000,1.0
55000,0.880118896484375,0.8454729614257812,0.832939453125,-3458.0875,-830172.736,0,1000,1.0
60000,0.8774071044921875,0.84708349609375,0.8324923095703125,-3674.2245,-854230.016,0,1000,1.0
65000,0.8761414184570312,0.8471085205078125,0.8313082885742188,-3889.3555,-884729.792,0,1000,1.0
70000,0.8758226928710937,0.8467724609375,0.8311923828125,-4129.02675,-923076.864,0,1000,1.0
75000,0.8773076171875,0.8454995727539063,0.8314526977539063,-4167.0815,-938384.64,0,1000,1.0
80000,0.8792460327148437,0.8425189208984375,0.8303638916015625,-4206.3795,-944164.928,0,1000,1.0
