epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-118265.912,-120206.528,-148524.944,-158432.304,-164167.136,0.0001,mfvi,1,1000,8
5000,-0.7599985961914062,-3.218527099609375,-6.79403466796875,-6238.722,-7104.7835,0.0001,mfvi,1,1000,8
10000,0.36890316772460935,0.14709986877441406,-4.54896044921875,-7019.5705,-7484.777,0.0001,mfvi,1,1000,8
15000,0.8059371948242188,0.6387294921875,-5.00233251953125,-7039.746,-7160.337,0.0001,mfvi,1,1000,8
20000,0.8026553344726562,0.6721590576171875,-5.42077294921875,-7104.3305,-7541.973,0.0001,mfvi,1,1000,8
25000,0.8033365478515625,0.7071367797851562,-5.589298828125,-7047.2115,-7640.996,0.0001,mfvi,1,1000,8
30000,0.7006746215820312,0.637982177734375,-6.10039453125,-6945.2735,-7893.9315,0.0001,mfvi,1,1000,8
35000,0.7979874877929688,0.7138851928710938,-6.3440361328125,-6886.2895,-7784.636,0.0001,mfvi,1,1000,8
40000,0.7964740600585938,0.721400634765625,-6.55670751953125,-6850.323,-7861.197,0.0001,mfvi,1,1000,8
45000,0.75456103515625,0.6706054077148438,-6.69033642578125,-6823.3375,-7833.8935,0.0001,mfvi,1,1000,8
50000,0.7956715087890625,0.7182172241210938,-6.644294921875,-6824.616,-7883.788,0.0001,mfvi,1,1000,8
55000,0.791054443359375,0.713464599609375,-6.62307275390625,-6796.17,-8039.6055,0.0001,mfvi,1,1000,8
60000,0.7920331420898438,0.7172183837890626,-6.57632666015625,-6773.2035,-8153.338,0.0001,mfvi,1,1000,8
65000,0.775877685546875,0.7086646118164063,-6.55306396484375,-6754.59,-8277.51,0.0001,mfvi,1,1000,8
70000,0.7872625732421875,0.7201162719726563,-6.49978662109375,-6721.4815,-8354.1545,0.0001,mfvi,1,1000,8
75000,0.7712161254882812,0.7045636596679687,-6.488681640625,-6695.095,-8396.948,0.0001,mfvi,1,1000,8
80000,0.787642578125,0.7187175903320312,-6.451673828125,-6678.5875,-8431.12,0.0001,mfvi,1,1000,8
85000,0.7557681884765625,0.69343505859375,-6.4520361328125,-6659.571,-8421.553,0.0001,mfvi,1,1000,8
90000,0.74916552734375,0.6787808227539063,-6.470421875,-6628.9885,-8356.924,0.0001,mfvi,1,1000,8
95000,0.7375409545898437,0.6798154296875,-6.47226025390625,-6634.157,-8387.6895,0.0001,mfvi,1,1000,8
100000,0.755268798828125,0.6734927978515625,-6.50786572265625,-6589.889,-8359.6405,0.0001,mfvi,1,1000,8
