epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-1451550.976,-2405305.344,-4397572.608,-8810876.928,-8127058.944,1,mfvi,0,100,0.25
5000,-2520.054,-5122.938,-338525.248,-6517320.704,-6534998.528,1,mfvi,0,100,0.25
10000,-986.761125,-2518.31125,-296358.976,-6230032.384,-6748731.904,1,mfvi,0,100,0.25
15000,-771.0415,-2032.885,-255095.712,-5706074.624,-5264307.2,1,mfvi,0,100,0.25
20000,-515.2089375,-1591.590125,-223933.12,-5138221.568,-5355014.144,1,mfvi,0,100,0.25
25000,-396.20190625,-1438.193875,-192238.432,-4687577.6,-5010777.088,1,mfvi,0,100,0.25
30000,-300.64090625,-1286.4245,-165633.888,-4368435.2,-4953070.592,1,mfvi,0,100,0.25
35000,-174.02303125,-1071.42475,-143386.608,-3969781.248,-4602884.608,1,mfvi,0,100,0.25
40000,-202.24415625,-1042.308,-123965.136,-3758909.184,-4278091.52,1,mfvi,0,100,0.25
45000,-105.66303125,-900.3645,-108399.36,-3521053.696,-4160505.856,1,mfvi,0,100,0.25
50000,-56.93580859375,-788.6874375,-95382.264,-3308515.84,-4035146.752,1,mfvi,0,100,0.25
55000,-85.919203125,-793.53675,-84454.352,-3102446.592,-3618468.096,1,mfvi,0,100,0.25
60000,-28.411357421875,-620.72575,-75010.128,-2940122.368,-3584023.552,1,mfvi,0,100,0.25
65000,-11.713283203125,-547.4405,-68165.136,-2755746.304,-3219292.672,1,mfvi,0,100,0.25
70000,-38.1908515625,-527.8536875,-62103.964,-2535982.336,-3161322.496,1,mfvi,0,100,0.25
75000,-58.3363046875,-538.628875,-56954.608,-2370748.672,-3120320.0,1,mfvi,0,100,0.25
80000,-50.71698828125,-495.031375,-51341.54,-2256787.2,-2877857.28,1,mfvi,0,100,0.25
85000,-77.61265625,-507.2855625,-46958.84,-2157904.896,-2870747.648,1,mfvi,0,100,0.25
90000,-137.331703125,-524.00975,-42676.288,-2034102.144,-2569402.88,1,mfvi,0,100,0.25
95000,-68.245546875,-478.8909375,-39762.72,-1960205.696,-2510399.744,1,mfvi,0,100,0.25
100000,-272.34184375,-636.714875,-38584.012,-1917902.336,-2424891.904,1,mfvi,0,100,0.25
105000,-136.499109375,-574.79325,-37891.264,-1854744.832,-2360888.32,1,mfvi,0,100,0.25
110000,-89.380875,-461.12221875,-37157.2,-1769648.64,-2323403.776,1,mfvi,0,100,0.25
115000,-150.897546875,-536.877625,-36977.296,-1681018.496,-2138598.016,1,mfvi,0,100,0.25
120000,-89.3948046875,-542.820375,-36613.364,-1666311.936,-2324939.52,1,mfvi,0,100,0.25
125000,-92.39865625,-452.27865625,-37372.124,-1653804.8,-2068295.68,1,mfvi,0,100,0.25
130000,-93.748953125,-635.2766875,-38097.812,-1613565.184,-2068593.28,1,mfvi,0,100,0.25
135000,-58.83319140625,-472.1193125,-39614.624,-1570233.6,-1821957.504,1,mfvi,0,100,0.25
140000,-56.3364375,-421.3365625,-40446.204,-1447331.456,-1710486.912,1,mfvi,0,100,0.25
145000,-77.859984375,-422.45709375,-40845.284,-1321792.128,-1719869.44,1,mfvi,0,100,0.25
150000,-78.9143671875,-465.214,-40848.456,-1240525.312,-1692233.6,1,mfvi,0,100,0.25
155000,-73.665140625,-366.86753125,-41179.404,-1163307.52,-1486907.52,1,mfvi,0,100,0.25
160000,-76.577953125,-352.73928125,-41003.34,-1069567.104,-1423181.952,1,mfvi,0,100,0.25
165000,-76.497453125,-299.76246875,-41035.28,-1025351.872,-1501504.512,1,mfvi,0,100,0.25
170000,-114.160703125,-285.3295625,-39858.796,-1021786.944,-1297483.008,1,mfvi,0,100,0.25
175000,-105.74184375,-254.5426875,-38376.12,-991261.952,-1364026.368,1,mfvi,0,100,0.25
180000,-161.01690625,-264.03078125,-36354.592,-992376.32,-1381751.296,1,mfvi,0,100,0.25
185000,-117.3295390625,-229.6985,-35130.544,-1019196.48,-1162803.968,1,mfvi,0,100,0.25
190000,-159.10040625,-225.9020625,-34278.0,-990364.608,-1241602.688,1,mfvi,0,100,0.25
195000,-242.071734375,-301.80265625,-34079.28,-948103.936,-1107815.168,1,mfvi,0,100,0.25
200000,-132.844734375,-167.69775,-33692.272,-866541.696,-1007656.896,1,mfvi,0,100,0.25
