epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-60652.716,-72271.904,-630057.28,-13192744.96,-958782111.744,1,sbvi,0,1000,1.0
10000,0.2941184692382813,0.08257968902587891,-1.106874755859375,-29542.684,-6409419.776,1,sbvi,0,1000,1.0
20000,0.8198778686523438,0.516774169921875,-1.0564090576171874,-1710.301,-399077.312,1,sbvi,0,1000,1.0
30000,0.8322464599609375,0.7719051513671875,-1.8205491943359375,-182.3834375,-35671.48,1,sbvi,0,1000,1.0
40000,0.6776975708007813,0.49961407470703123,-2.381643310546875,-142.635828125,-15190.882,1,sbvi,0,1000,1.0
50000,0.5706290893554687,0.6024843139648437,-2.19553759765625,-98.298984375,-8895.05,1,sbvi,0,1000,1.0
60000,0.093994873046875,0.33534075927734375,-2.29122607421875,-43.1870078125,-4804.7825,1,sbvi,0,1000,1.0
70000,0.48899951171875,0.711709228515625,-2.480257568359375,-717.7445,-116496.36,1,sbvi,0,1000,1.0
80000,-0.9065125732421875,-0.58263720703125,-2.932552978515625,-501.82996875,-83514.8,1,sbvi,0,1000,1.0
