epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-12839.9931640625,1,sbvi,0,4
500,-84.8191909790039,1,sbvi,0,4
1000,-174.42279052734375,1,sbvi,0,4
1500,-131.24143981933594,1,sbvi,0,4
2000,-138.22390747070312,1,sbvi,0,4
2500,-180.503662109375,1,sbvi,0,4
3000,-243.03073120117188,1,sbvi,0,4
3500,-159.48016357421875,1,sbvi,0,4
4000,-196.66656494140625,1,sbvi,0,4
4500,-160.27964782714844,1,sbvi,0,4
5000,-183.3610076904297,1,sbvi,0,4
5500,-85.53520202636719,1,sbvi,0,4
6000,-111.825439453125,1,sbvi,0,4
6500,-122.52899169921875,1,sbvi,0,4
7000,-152.45982360839844,1,sbvi,0,4
7500,-212.82447814941406,1,sbvi,0,4
8000,-179.22129821777344,1,sbvi,0,4
