epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-21.252579768291604,1,sbvi,0,4
500,-37.604634010700465,1,sbvi,0,4
1000,-25.42162445834293,1,sbvi,0,4
1500,-5.458346877306184,1,sbvi,0,4
2000,-20.72358695014694,1,sbvi,0,4
2500,-35.19332342833296,1,sbvi,0,4
3000,-27.945014169762004,1,sbvi,0,4
3500,-55.64089687866925,1,sbvi,0,4
4000,-25.046997231258405,1,sbvi,0,4
4500,-34.597070365263846,1,sbvi,0,4
5000,-40.44230648625675,1,sbvi,0,4
5500,-28.173906221123616,1,sbvi,0,4
6000,-33.0830495242756,1,sbvi,0,4
6500,-14.187232875983119,1,sbvi,0,4
7000,-43.10190347306142,1,sbvi,0,4
7500,-48.28355937323104,1,sbvi,0,4
8000,-13.023683155846632,1,sbvi,0,4
8500,-17.716008871505384,1,sbvi,0,4
9000,-40.23912370941372,1,sbvi,0,4
9500,-31.745508814324268,1,sbvi,0,4
10000,-28.1811626582495,1,sbvi,0,4
10500,-53.14228834344512,1,sbvi,0,4
11000,-48.8198103897283,1,sbvi,0,4
11500,-38.894566424689565,1,sbvi,0,4
12000,-36.94492600477401,1,sbvi,0,4
12500,-26.27421610545735,1,sbvi,0,4
13000,-77.83826831862444,1,sbvi,0,4
13500,-55.71954290702189,1,sbvi,0,4
14000,-23.924873197799656,1,sbvi,0,4
14500,-33.779274791636524,1,sbvi,0,4
15000,-34.20887865314397,1,sbvi,0,4
15500,-31.515453809902162,1,sbvi,0,4
16000,-42.95349373303142,1,sbvi,0,4
16500,-30.69387929175945,1,sbvi,0,4
17000,-29.875827895342415,1,sbvi,0,4
17500,-55.73772485007863,1,sbvi,0,4
18000,-35.94527354882007,1,sbvi,0,4
18500,-47.225016785060454,1,sbvi,0,4
19000,-28.23146569215497,1,sbvi,0,4
19500,-45.18379743808079,1,sbvi,0,4
