epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-2616218.368,-4163676.16,-6120406.528,-8113655.808,-7768570.368,0.0001,mfvi,1,10,1
20000,-1277521.792,-1153147.52,-2978583.296,-7557145.088,-7320953.344,0.0001,mfvi,1,10,1
40000,-1106158.464,-1145242.88,-2780850.688,-7179622.4,-7021628.416,0.0001,mfvi,1,10,1
60000,-1110055.68,-1172553.728,-2588998.144,-6927947.264,-6843988.48,0.0001,mfvi,1,10,1
80000,-1128160.896,-1184523.264,-2574178.56,-6896259.584,-6870589.44,0.0001,mfvi,1,10,1
