epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-114007.744,-8959330.304,-11879849.984,-9983811.584,-9247877.12,0.001,mfvi,0,10,0.25
5000,-203821.408,-5112793.088,-4717280.256,-7614351.36,-7521936.384,0.001,mfvi,0,10,0.25
10000,-46287.808,-4595637.76,-4635061.248,-7720466.432,-7706202.624,0.001,mfvi,0,10,0.25
15000,-40221.648,-4106575.616,-4518595.584,-7743269.888,-7743522.816,0.001,mfvi,0,10,0.25
20000,-83829.888,-3705925.632,-4405394.432,-7806970.88,-7761983.488,0.001,mfvi,0,10,0.25
25000,-106182.056,-3490563.072,-4313766.4,-7937384.448,-7882393.6,0.001,mfvi,0,10,0.25
30000,-92918.096,-3418528.512,-4187858.432,-8014555.648,-7992276.992,0.001,mfvi,0,10,0.25
35000,-86583.552,-3414148.096,-4112927.232,-8007416.832,-8073750.528,0.001,mfvi,0,10,0.25
40000,-80975.016,-3463649.024,-4110857.216,-8012364.8,-8123133.952,0.001,mfvi,0,10,0.25
45000,-69398.056,-3487253.504,-4098820.608,-8003554.816,-8158661.632,0.001,mfvi,0,10,0.25
50000,-66819.056,-3492985.088,-4092413.952,-8011427.328,-8191364.096,0.001,mfvi,0,10,0.25
55000,-67390.896,-3489243.136,-4079826.688,-8002109.44,-8170083.328,0.001,mfvi,0,10,0.25
60000,-65709.36,-3501056.0,-4071525.376,-7987111.424,-8165737.472,0.001,mfvi,0,10,0.25
65000,-65522.636,-3505411.328,-4066819.072,-7980580.864,-8162026.496,0.001,mfvi,0,10,0.25
70000,-63221.612,-3514114.048,-4062681.6,-7981751.808,-8153496.576,0.001,mfvi,0,10,0.25
75000,-60656.608,-3519455.232,-4059358.208,-7975558.656,-8137675.776,0.001,mfvi,0,10,0.25
80000,-60849.848,-3519491.328,-4050022.656,-7969120.768,-8146032.128,0.001,mfvi,0,10,0.25
85000,-59735.388,-3528595.2,-4044818.176,-7954480.64,-8204936.704,0.001,mfvi,0,10,0.25
90000,-57314.448,-3532894.72,-4037106.176,-7944284.672,-8287476.224,0.001,mfvi,0,10,0.25
95000,-52743.856,-3545960.704,-4033929.728,-7931137.024,-8337071.616,0.001,mfvi,0,10,0.25
100000,-47473.8,-3561440.256,-4027025.408,-7915790.848,-8360641.536,0.001,mfvi,0,10,0.25
105000,-40851.32,-3564670.976,-4017820.672,-7896428.544,-8280103.936,0.001,mfvi,0,10,0.25
110000,-37438.504,-3571398.656,-4012652.032,-7875669.504,-8255024.128,0.001,mfvi,0,10,0.25
115000,-33879.672,-3583369.472,-4005018.624,-7843270.656,-8177634.304,0.001,mfvi,0,10,0.25
120000,-31983.744,-3595649.024,-3999021.312,-7824488.448,-8147710.976,0.001,mfvi,0,10,0.25
125000,-29982.28,-3604745.216,-3996678.4,-7801339.904,-8109064.704,0.001,mfvi,0,10,0.25
130000,-28121.47,-3613190.656,-3983624.96,-7763865.088,-8101217.28,0.001,mfvi,0,10,0.25
135000,-26428.544,-3617125.12,-3975019.264,-7727526.4,-8079278.08,0.001,mfvi,0,10,0.25
140000,-26188.866,-3619495.936,-3971445.76,-7701325.824,-8027762.688,0.001,mfvi,0,10,0.25
145000,-24876.536,-3637601.792,-3967217.152,-7664799.232,-7989075.968,0.001,mfvi,0,10,0.25
150000,-24020.564,-3644039.936,-3955689.472,-7612972.032,-7892203.008,0.001,mfvi,0,10,0.25
155000,-23206.868,-3662654.464,-3944949.76,-7492963.328,-7750425.088,0.001,mfvi,0,10,0.25
160000,-21653.148,-3677018.624,-3927180.288,-7310701.056,-7527873.536,0.001,mfvi,0,10,0.25
165000,-20414.348,-3686315.52,-3914025.472,-7167098.368,-7335789.056,0.001,mfvi,0,10,0.25
170000,-20004.31,-3715176.704,-3920929.792,-7117182.976,-7244539.392,0.001,mfvi,0,10,0.25
175000,-21045.642,-3760716.8,-3928256.256,-7102171.136,-7196663.808,0.001,mfvi,0,10,0.25
180000,-32798.96,-3885786.368,-3967268.352,-7089592.32,-7170740.736,0.001,mfvi,0,10,0.25
185000,-45201.792,-3948717.568,-3982786.56,-7067385.344,-7187235.328,0.001,mfvi,0,10,0.25
190000,-61981.688,-3993785.088,-3977231.36,-7013740.032,-7151693.824,0.001,mfvi,0,10,0.25
195000,-78693.504,-4022808.576,-3970229.76,-6963170.304,-7063223.296,0.001,mfvi,0,10,0.25
200000,-105245.152,-4100564.992,-3972767.744,-6896074.24,-6892067.84,0.001,mfvi,0,10,0.25
