epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train,frequency
0,-57827.252,1,sbvi,0,100,0.5
10000,0.39245452880859377,1,sbvi,0,100,0.5
20000,0.555770263671875,1,sbvi,0,100,0.5
30000,0.4247171936035156,1,sbvi,0,100,0.5
40000,-0.19628292846679687,1,sbvi,0,100,0.5
50000,0.07269595336914063,1,sbvi,0,100,0.5
60000,0.36430886840820315,1,sbvi,0,100,0.5
70000,0.26841986083984376,1,sbvi,0,100,0.5
80000,0.08514786529541016,1,sbvi,0,100,0.5
90000,0.2478990478515625,1,sbvi,0,100,0.5
100000,-0.4934219970703125,1,sbvi,0,100,0.5
