epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-28.029210408528645,0.001,sbvi,0,3
10000,-1.1483556429545085,0.001,sbvi,0,3
20000,-1.1454826990763347,0.001,sbvi,0,3
30000,-1.1473739941914876,0.001,sbvi,0,3
40000,-1.1487348079681396,0.001,sbvi,0,3
50000,-1.1442977587382,0.001,sbvi,0,3
60000,-1.1517186164855957,0.001,sbvi,0,3
70000,-1.1471531391143799,0.001,sbvi,0,3
80000,-1.1473511060078938,0.001,sbvi,0,3
90000,-1.1486175855000813,0.001,sbvi,0,3
100000,-1.1448464393615723,0.001,sbvi,0,3
