epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-2616155.648,-4163328.512,-6117725.184,-8116156.416,-7768775.168,0.01,mfvi,1,10,0.25
20000,-1098349.184,-1063078.848,-2907758.848,-7317203.968,-6965232.128,0.01,mfvi,1,10,0.25
40000,-946754.88,-1043378.944,-2561594.112,-6663226.368,-6417171.968,0.01,mfvi,1,10,0.25
60000,-980991.104,-1062788.48,-2462614.016,-6353884.16,-5999577.6,0.01,mfvi,1,10,0.25
80000,-976482.112,-1049474.368,-2402112.768,-6304026.112,-5771335.168,0.01,mfvi,1,10,0.25
