epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-4491600.896,-4179554.56,-4595746.816,-8269209.6,-8976840.704,0.0001,mfvi,1,100,2
5000,-88.819515625,-1973.7755,-398300.672,-6022151.68,-8001209.344,0.0001,mfvi,1,100,2
10000,-58.91451171875,-1840.906125,-400732.672,-5938991.104,-8062009.344,0.0001,mfvi,1,100,2
15000,-52.38459765625,-1742.684,-402350.624,-5929298.944,-8401716.224,0.0001,mfvi,1,100,2
20000,-28.464576171875,-1781.477,-403739.936,-5926645.76,-8387859.968,0.0001,mfvi,1,100,2
25000,-29.2051328125,-1768.868125,-407004.192,-5914621.952,-8398555.136,0.0001,mfvi,1,100,2
30000,-36.7036015625,-1738.98175,-411672.48,-5906599.936,-8453614.08,0.0001,mfvi,1,100,2
35000,-41.96752734375,-1731.432125,-415441.888,-5922908.16,-8590204.928,0.0001,mfvi,1,100,2
40000,-27.76787890625,-1775.173375,-419661.344,-5941293.568,-8556633.088,0.0001,mfvi,1,100,2
45000,-31.796798828125,-1760.399625,-425312.704,-5969971.712,-8443155.968,0.0001,mfvi,1,100,2
50000,-32.00033203125,-1757.962875,-432558.752,-5987968.0,-8517837.824,0.0001,mfvi,1,100,2
55000,-29.51183984375,-1770.182125,-437826.048,-5996237.824,-8633499.648,0.0001,mfvi,1,100,2
60000,-43.2291875,-1737.92975,-441525.792,-6009732.096,-8658959.36,0.0001,mfvi,1,100,2
65000,-33.15516015625,-1758.115125,-445193.888,-6026151.424,-8611724.288,0.0001,mfvi,1,100,2
70000,-29.768677734375,-1764.0445,-449585.504,-6038483.456,-8402442.752,0.0001,mfvi,1,100,2
75000,-42.8149453125,-1733.424375,-453979.808,-6049602.56,-8190438.912,0.0001,mfvi,1,100,2
80000,-28.32518359375,-1770.285375,-458144.768,-6056560.64,-8060765.184,0.0001,mfvi,1,100,2
85000,-42.97165234375,-1732.38375,-463151.84,-6068440.576,-7974993.408,0.0001,mfvi,1,100,2
90000,-26.3606328125,-1784.259625,-468300.064,-6080670.208,-7862291.456,0.0001,mfvi,1,100,2
95000,-24.419126953125,-1789.136875,-472533.216,-6090226.176,-7750279.68,0.0001,mfvi,1,100,2
100000,-21.193966796875,-1810.63775,-476831.264,-6098832.384,-7677664.256,0.0001,mfvi,1,100,2
