epoch,ood_ll_var_0.3,temperature,posterior_type,seed,n_train,frequency
999,-30.10007757847286,1,sbvi,0,64,1
1999,-26.695428316522683,1,sbvi,0,64,1
2999,-27.65239133877754,1,sbvi,0,64,1
3999,-29.33123723446473,1,sbvi,0,64,1
4999,-29.08361889320316,1,sbvi,0,64,1
5999,-28.434608735176447,1,sbvi,0,64,1
6999,-28.47756901245795,1,sbvi,0,64,1
7999,-27.444902322032867,1,sbvi,0,64,1
8999,-28.51815972795388,1,sbvi,0,64,1
9999,-29.100811208856904,1,sbvi,0,64,1
10999,-28.894121821863287,1,sbvi,0,64,1
11999,-26.292787471946635,1,sbvi,0,64,1
12999,-27.82426023821227,1,sbvi,0,64,1
13999,-26.52876036127986,1,sbvi,0,64,1
14999,-25.138083782692327,1,sbvi,0,64,1
15999,-26.476684689954986,1,sbvi,0,64,1
16999,-28.13499477015115,1,sbvi,0,64,1
