epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-2616136.704,-4163299.584,-6126047.232,-8116091.392,-7767080.96,0.001,mfvi,1,10,2
5000,-2012280.832,-1470558.976,-3203757.824,-7534120.448,-7294680.576,0.001,mfvi,1,10,2
10000,-1824403.712,-1338162.56,-3081360.896,-7647180.288,-7371147.776,0.001,mfvi,1,10,2
15000,-1729961.728,-1305365.504,-3028382.976,-7649602.56,-7439686.144,0.001,mfvi,1,10,2
20000,-1212701.696,-1113362.944,-2940513.024,-7529764.864,-7391018.496,0.001,mfvi,1,10,2
25000,-963832.0,-1002613.696,-2849041.92,-7372285.44,-7238312.448,0.001,mfvi,1,10,2
30000,-996428.16,-1037339.456,-2786321.664,-7265882.624,-7098612.736,0.001,mfvi,1,10,2
35000,-1019955.456,-1076791.808,-2744636.416,-7158987.264,-6951178.752,0.001,mfvi,1,10,2
40000,-1023048.768,-1091828.608,-2684919.04,-7067896.832,-6871851.008,0.001,mfvi,1,10,2
45000,-1044917.376,-1106650.368,-2634231.04,-6999389.184,-6836465.664,0.001,mfvi,1,10,2
50000,-1080692.48,-1126778.368,-2593378.816,-6932548.096,-6805160.96,0.001,mfvi,1,10,2
55000,-1094240.384,-1136241.792,-2565018.368,-6889110.016,-6774687.744,0.001,mfvi,1,10,2
60000,-1121893.12,-1153640.448,-2554371.072,-6857842.688,-6731086.848,0.001,mfvi,1,10,2
