epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-1.6647140502929687,1e-08,mfvi,0,100
10000,-1.6728231811523437,1e-08,mfvi,0,100
20000,-1.648929443359375,1e-08,mfvi,0,100
30000,-1.6476077270507812,1e-08,mfvi,0,100
40000,-1.6473265075683594,1e-08,mfvi,0,100
50000,-1.6485427856445312,1e-08,mfvi,0,100
60000,-1.6485662841796875,1e-08,mfvi,0,100
70000,-1.6471957397460937,1e-08,mfvi,0,100
80000,-1.648696746826172,1e-08,mfvi,0,100
90000,-1.6481869506835938,1e-08,mfvi,0,100
100000,-1.6485089111328124,1e-08,mfvi,0,100
110000,-1.6487841796875,1e-08,mfvi,0,100
