epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-31.514634708525588,1,sbvi,0,4
500,-28.672011306769186,1,sbvi,0,4
1000,-17.12284242348283,1,sbvi,0,4
1500,-19.8684888967952,1,sbvi,0,4
2000,-35.2091039151366,1,sbvi,0,4
2500,-22.320677278025364,1,sbvi,0,4
3000,-11.49289516454948,1,sbvi,0,4
3500,-31.687746107609737,1,sbvi,0,4
4000,-39.363366247083064,1,sbvi,0,4
4500,-32.13567680967082,1,sbvi,0,4
5000,-18.730182227107246,1,sbvi,0,4
5500,-32.67836527162525,1,sbvi,0,4
6000,-13.556662694036017,1,sbvi,0,4
6500,-38.796423422257504,1,sbvi,0,4
7000,-36.65179834985961,1,sbvi,0,4
7500,-50.080825195629885,1,sbvi,0,4
8000,-31.37810425723407,1,sbvi,0,4
8500,-74.23095000430125,1,sbvi,0,4
9000,-35.030518728834096,1,sbvi,0,4
9500,-58.58228868803945,1,sbvi,0,4
10000,-13.67777977844924,1,sbvi,0,4
10500,-29.845588814482937,1,sbvi,0,4
11000,-45.77432617767924,1,sbvi,0,4
