epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-2.2723374366760254,1,sbvi,0,4
500,-3.423321008682251,1,sbvi,0,4
1000,-1.3446919918060303,1,sbvi,0,4
1500,-0.28239232301712036,1,sbvi,0,4
2000,-0.3317977488040924,1,sbvi,0,4
2500,-0.16225212812423706,1,sbvi,0,4
3000,-0.16753938794136047,1,sbvi,0,4
3500,0.24051716923713684,1,sbvi,0,4
4000,-0.005523771047592163,1,sbvi,0,4
4500,-1.0101730823516846,1,sbvi,0,4
5000,-1.8851993083953857,1,sbvi,0,4
5500,-0.7098723649978638,1,sbvi,0,4
6000,-0.14566218852996826,1,sbvi,0,4
6500,-1.0046520233154297,1,sbvi,0,4
7000,-0.6513139009475708,1,sbvi,0,4
7500,-0.3966413140296936,1,sbvi,0,4
8000,-0.528964102268219,1,sbvi,0,4
8500,-0.37272292375564575,1,sbvi,0,4
9000,-0.8219859600067139,1,sbvi,0,4
9500,-2.3007659912109375,1,sbvi,0,4
10000,-1.1512869596481323,1,sbvi,0,4
10500,-0.027473703026771545,1,sbvi,0,4
11000,-0.850412130355835,1,sbvi,0,4
11500,-0.27973443269729614,1,sbvi,0,4
12000,-2.850682020187378,1,sbvi,0,4
12500,-1.5196458101272583,1,sbvi,0,4
13000,-2.0341897010803223,1,sbvi,0,4
13500,-0.8437974452972412,1,sbvi,0,4
14000,-1.3311047554016113,1,sbvi,0,4
14500,-0.6192640066146851,1,sbvi,0,4
15000,-1.5855193138122559,1,sbvi,0,4
15500,-0.6263613700866699,1,sbvi,0,4
16000,-1.2760547399520874,1,sbvi,0,4
16500,-0.3556900918483734,1,sbvi,0,4
17000,-0.41584277153015137,1,sbvi,0,4
17500,0.09125345945358276,1,sbvi,0,4
18000,-0.004194319248199463,1,sbvi,0,4
