epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-61578.544,-57421.336,-162126.64,-16775105.536,-1696126599.168,1,sbvi,0,1000,1.0
10000,-2.014780029296875,-4.9742314453125,-3.555352783203125,-10999.234,-2512084.736,1,sbvi,0,1000,1.0
20000,0.7283272705078125,0.43231729125976565,-5.56090380859375,-569.8480625,-98379.328,1,sbvi,0,1000,1.0
30000,-4.70297412109375,-3.29976953125,-14.6132841796875,-264.38921875,-30055.88,1,sbvi,0,1000,1.0
