epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-4491600.896,-4179554.56,-4595746.816,-8269209.6,-8976840.704,0.01,mfvi,1,100,2
20000,-38.5186953125,-1765.024375,-404163.296,-5911218.688,-8228527.616,0.01,mfvi,1,100,2
40000,-34.8136484375,-1771.375375,-417596.256,-5978399.744,-8149799.424,0.01,mfvi,1,100,2
60000,-32.69305859375,-1771.6435,-422955.808,-6018717.184,-8104317.952,0.01,mfvi,1,100,2
80000,-25.3775703125,-1825.957625,-432483.232,-6072125.952,-7646921.216,0.01,mfvi,1,100,2
