epoch,ood_ll_iid_with_gap,ood_ll_ood_no_gap,temperature,posterior_type,seed,n_train,frequency
9999,-2433.5856924876857,-677166.279529975,1,mfvi,0,512,1
19999,-623.5207406023892,-324204.5686453783,1,mfvi,0,512,1
29999,-288.9868882254947,-157093.3389771183,1,mfvi,0,512,1
39999,-137.30412340677574,-73008.67681783518,1,mfvi,0,512,1
49999,-64.54297551679409,-31882.570210790862,1,mfvi,0,512,1
59999,-25.791153748392006,-11662.827832705492,1,mfvi,0,512,1
69999,-35.446591005860114,-3127.7877656805763,1,mfvi,0,512,1
79999,-4.3491723365308825,-521.0331941097004,1,mfvi,0,512,1
89999,-1.252372041628752,-7.5726255915939635,1,mfvi,0,512,1
99999,-0.14733860548638777,0.12857665603557816,1,mfvi,0,512,1
109999,0.30993655823800825,0.3994328617433525,1,mfvi,0,512,1
119999,0.3736451866020633,0.3384857946380727,1,mfvi,0,512,1
129999,0.49862774704109913,0.2763084144385747,1,mfvi,0,512,1
139999,0.2510527487795972,0.14931617216767462,1,mfvi,0,512,1
149999,0.5490752729996294,0.47718794702477874,1,mfvi,0,512,1
159999,0.34570905977385585,0.3416458141248616,1,mfvi,0,512,1
169999,0.5086210788622996,0.2868676926210942,1,mfvi,0,512,1
179999,0.3286626207792088,0.36718715742302327,1,mfvi,0,512,1
189999,0.4317696980810435,0.6149381759054038,1,mfvi,0,512,1
199999,0.5662713707349103,0.3092523933924367,1,mfvi,0,512,1
209999,0.43742254906130545,0.42342171201212,1,mfvi,0,512,1
219999,0.33409295370334785,0.3310656116834452,1,mfvi,0,512,1
229999,0.5629484169929818,0.14900722847334208,1,mfvi,0,512,1
239999,0.7059864282143314,0.5745724782258218,1,mfvi,0,512,1
249999,0.5882397959852026,0.6326540633988922,1,mfvi,0,512,1
259999,0.5230261294132106,0.34213891390821166,1,mfvi,0,512,1
269999,0.6984119227407846,0.7127857433536746,1,mfvi,0,512,1
279999,0.5792138773617933,0.30505128877356835,1,mfvi,0,512,1
289999,0.6122209858417984,0.33366975566285445,1,mfvi,0,512,1
299999,0.672302264094326,0.3172805294112354,1,mfvi,0,512,1
309999,0.5824837741239467,0.3025332634334747,1,mfvi,0,512,1
319999,0.45570966012661446,0.5545505556623924,1,mfvi,0,512,1
329999,0.4985935185044789,0.5225618730348454,1,mfvi,0,512,1
339999,0.5867741737482965,0.4327965150591075,1,mfvi,0,512,1
