epoch,ood_ll_var_0.3,temperature,posterior_type,seed,n_train,frequency
0,-381.3021571067103,0.001,sbvi,0,50,4
500,-35.38717952694785,0.001,sbvi,0,50,4
1000,-24.66892158358452,0.001,sbvi,0,50,4
1500,-18.75310922636284,0.001,sbvi,0,50,4
2000,-31.681944485003285,0.001,sbvi,0,50,4
2500,-9.948217582172395,0.001,sbvi,0,50,4
3000,-4.717778528752051,0.001,sbvi,0,50,4
3500,-3.6261125884427265,0.001,sbvi,0,50,4
4000,-3.6875763358432305,0.001,sbvi,0,50,4
4500,-3.6994828864805824,0.001,sbvi,0,50,4
5000,-3.701100079776498,0.001,sbvi,0,50,4
5500,-3.6879465508684817,0.001,sbvi,0,50,4
6000,-3.812487545777484,0.001,sbvi,0,50,4
6500,-3.7421932069711343,0.001,sbvi,0,50,4
7000,-3.779690735491515,0.001,sbvi,0,50,4
7500,-3.759844746925699,0.001,sbvi,0,50,4
8000,-3.8786330520099828,0.001,sbvi,0,50,4
8500,-3.7593382683915935,0.001,sbvi,0,50,4
9000,-3.6941941172222705,0.001,sbvi,0,50,4
9500,-3.5709117207979904,0.001,sbvi,0,50,4
10000,-3.734279215432846,0.001,sbvi,0,50,4
10500,-3.6980910142226056,0.001,sbvi,0,50,4
11000,-3.9687178697084193,0.001,sbvi,0,50,4
11500,-3.8486007808865286,0.001,sbvi,0,50,4
12000,-3.9395804580740297,0.001,sbvi,0,50,4
12500,-3.8925752922385817,0.001,sbvi,0,50,4
13000,-3.873008865796547,0.001,sbvi,0,50,4
13500,-3.8787742805528866,0.001,sbvi,0,50,4
14000,-3.8159674633599923,0.001,sbvi,0,50,4
14500,-3.8640207679438983,0.001,sbvi,0,50,4
15000,-3.9285238324310714,0.001,sbvi,0,50,4
15500,-3.939726689232543,0.001,sbvi,0,50,4
16000,-3.7985678218991343,0.001,sbvi,0,50,4
16500,-3.988700905907007,0.001,sbvi,0,50,4
17000,-4.12491301172623,0.001,sbvi,0,50,4
17500,-3.924551600567731,0.001,sbvi,0,50,4
18000,-9.698538471874842,0.001,sbvi,0,50,4
18500,-4.627286214696203,0.001,sbvi,0,50,4
19000,-4.118434485910404,0.001,sbvi,0,50,4
19500,-3.882182259691469,0.001,sbvi,0,50,4
20000,-3.859437532309093,0.001,sbvi,0,50,4
20500,-3.801543186618398,0.001,sbvi,0,50,4
21000,-3.830889473140545,0.001,sbvi,0,50,4
21500,-3.820173991182996,0.001,sbvi,0,50,4
22000,-3.822569509256533,0.001,sbvi,0,50,4
22500,-3.7633287461237273,0.001,sbvi,0,50,4
23000,-3.758836003393244,0.001,sbvi,0,50,4
23500,-3.7456184138852593,0.001,sbvi,0,50,4
24000,-3.663782039536821,0.001,sbvi,0,50,4
24500,-3.6961011099759613,0.001,sbvi,0,50,4
25000,-3.6763471325927393,0.001,sbvi,0,50,4
25500,-3.713326705907561,0.001,sbvi,0,50,4
26000,-3.7464938736810414,0.001,sbvi,0,50,4
26500,-3.7070921921688784,0.001,sbvi,0,50,4
27000,-3.8743311501894975,0.001,sbvi,0,50,4
27500,-3.6819043204833597,0.001,sbvi,0,50,4
28000,-3.633628607453645,0.001,sbvi,0,50,4
28500,-3.7203502267259903,0.001,sbvi,0,50,4
29000,-3.939175781285352,0.001,sbvi,0,50,4
29500,-3.801817282324122,0.001,sbvi,0,50,4
30000,-3.965296161789811,0.001,sbvi,0,50,4
30500,-3.8084167287407746,0.001,sbvi,0,50,4
31000,-3.8181640058055373,0.001,sbvi,0,50,4
31500,-3.957493913892013,0.001,sbvi,0,50,4
32000,-3.8209895607726803,0.001,sbvi,0,50,4
32500,-3.9394314441029428,0.001,sbvi,0,50,4
33000,-3.8180671490413514,0.001,sbvi,0,50,4
33500,-3.619001969385192,0.001,sbvi,0,50,4
34000,-3.7176372729244496,0.001,sbvi,0,50,4
34500,-3.714277689027677,0.001,sbvi,0,50,4
35000,-3.80919834792696,0.001,sbvi,0,50,4
35500,-3.691579502479296,0.001,sbvi,0,50,4
36000,-3.7546351933369104,0.001,sbvi,0,50,4
36500,-3.885489528339924,0.001,sbvi,0,50,4
37000,-3.765046166887039,0.001,sbvi,0,50,4
37500,-3.8435684174286107,0.001,sbvi,0,50,4
