epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-61588.84,-57476.496,-161889.28,-16770376.704,-1696915390.464,1,sbvi,0,1000,1.0
10000,-6.7573955078125,-7.79466357421875,-11.523119140625,-14710.916,-3790233.088,1,sbvi,0,1000,1.0
20000,-8.1915244140625,-9.8844677734375,-9.911001953125,-6627.2175,-1880672.0,1,sbvi,0,1000,1.0
30000,-13.05569140625,-12.4162578125,-32.576412109375,-4701.35,-1226728.448,1,sbvi,0,1000,1.0
40000,-15.50775390625,-19.822087890625,-30.813091796875,-5311.724,-1691615.232,1,sbvi,0,1000,1.0
50000,0.685294189453125,0.7172770385742188,-2.533738525390625,-4898.2475,-1347741.824,1,sbvi,0,1000,1.0
60000,-3.26576806640625,-3.46151171875,-3.356165283203125,-4848.415,-989296.64,1,sbvi,0,1000,1.0
70000,-8.325025390625,-9.894837890625,-16.53356640625,-2935.435,-496657.92,1,sbvi,0,1000,1.0
