epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-1317949.312,-6415552.0,-8272059.904,-5966713.856,-5264649.216,0.01,mfvi,1,1000,0.5
20000,-12.5670537109375,-46.126921875,-15440.246,-3699373.312,-4487521.28,0.01,mfvi,1,1000,0.5
40000,-33.2597578125,-70.2316484375,-15263.774,-3702626.048,-4465360.384,0.01,mfvi,1,1000,0.5
60000,-18.403931640625,-68.8802265625,-15123.227,-3693402.368,-4447773.696,0.01,mfvi,1,1000,0.5
80000,-19.753228515625,-75.798546875,-15073.475,-3685316.864,-4447670.272,0.01,mfvi,1,1000,0.5
