epoch,ood_ll_var_0.3,temperature,posterior_type,seed,n_train,frequency
999,-39.97134202602883,1,sbvi,0,32,0.25
1999,-31.179818475362712,1,sbvi,0,32,0.25
2999,-42.245762158887175,1,sbvi,0,32,0.25
3999,-69.45113644496136,1,sbvi,0,32,0.25
4999,-33.981791372933365,1,sbvi,0,32,0.25
5999,-37.11386576086507,1,sbvi,0,32,0.25
6999,-54.14405389091292,1,sbvi,0,32,0.25
7999,-36.354763361504794,1,sbvi,0,32,0.25
8999,-39.36579795134549,1,sbvi,0,32,0.25
9999,-54.00688317389625,1,sbvi,0,32,0.25
10999,-40.27344547319232,1,sbvi,0,32,0.25
11999,-55.06934272200003,1,sbvi,0,32,0.25
12999,-48.626658111391606,1,sbvi,0,32,0.25
13999,-43.54490930372245,1,sbvi,0,32,0.25
14999,-43.75675724673501,1,sbvi,0,32,0.25
15999,-40.61604311181944,1,sbvi,0,32,0.25
16999,-55.04358216869397,1,sbvi,0,32,0.25
17999,-52.322468633242316,1,sbvi,0,32,0.25
