epoch,ood_ll_iid_with_gap,ood_ll_ood_no_gap,temperature,posterior_type,seed,n_train,frequency
9999,-538.5250295043601,-57543.87087583339,1,mfvi,0,512,1
19999,-375.06628543708166,-26911.325030186214,1,mfvi,0,512,1
29999,-359.17280841817166,-10235.934558283452,1,mfvi,0,512,1
39999,-328.34755970451516,-2984.731790978127,1,mfvi,0,512,1
49999,-295.818040923664,-539.6735571571647,1,mfvi,0,512,1
59999,-309.94009798366886,-195.94125296669984,1,mfvi,0,512,1
69999,-287.4959424384014,-235.16837424777145,1,mfvi,0,512,1
79999,-307.6697139075608,-254.0143323640041,1,mfvi,0,512,1
89999,-313.8496025053039,-239.34816248701503,1,mfvi,0,512,1
99999,-311.7510428710441,-241.93315696549237,1,mfvi,0,512,1
109999,-313.3972303418439,-245.4294879815476,1,mfvi,0,512,1
119999,-295.0002880677455,-236.9121900157808,1,mfvi,0,512,1
