epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-16413.248,-12488.87,-23638.216,-15859.999,-16658.324,0.001,mfvi,1,100,2
20000,-0.013685199737548828,-1.0038729858398439,-197.405109375,-5958.2515,-8839.055,0.001,mfvi,1,100,2
40000,-0.22603218078613282,-0.24929727172851562,-136.418765625,-5748.5215,-8569.826,0.001,mfvi,1,100,2
60000,-0.3426051635742188,-0.00762439775466919,-99.1551875,-5401.81,-7906.5785,0.001,mfvi,1,100,2
80000,-0.66811083984375,0.041021045684814454,-70.2146015625,-5277.5465,-7063.945,0.001,mfvi,1,100,2
