epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-1317926.272,-6417108.48,-8256414.208,-5968820.736,-5264395.264,0.0001,mfvi,1,1000,0.25
20000,-13.636984375,-46.7356484375,-15674.536,-3708796.416,-4483228.16,0.0001,mfvi,1,1000,0.25
40000,-30.02459765625,-69.487390625,-15519.565,-3723682.56,-4529631.744,0.0001,mfvi,1,1000,0.25
60000,-16.2084638671875,-68.592421875,-15424.357,-3729938.432,-4427715.072,0.0001,mfvi,1,1000,0.25
80000,-17.577982421875,-75.53803125,-15308.201,-3728836.096,-4324476.928,0.0001,mfvi,1,1000,0.25
