epoch,ood_ll_var_0.3,temperature,posterior_type,seed,n_train,frequency
0,-3691.034383135223,0.1,sbvi,0,50,4
500,-27.188984438071266,0.1,sbvi,0,50,4
1000,-19.77798200143416,0.1,sbvi,0,50,4
1500,-11.546116840091889,0.1,sbvi,0,50,4
2000,-8.453225766506296,0.1,sbvi,0,50,4
2500,-6.002465275283179,0.1,sbvi,0,50,4
3000,-4.7571107700625905,0.1,sbvi,0,50,4
3500,-6.2918064113110646,0.1,sbvi,0,50,4
4000,-3.809536753792214,0.1,sbvi,0,50,4
4500,-4.7815614238386495,0.1,sbvi,0,50,4
5000,-4.751079098658449,0.1,sbvi,0,50,4
5500,-3.5480202107133785,0.1,sbvi,0,50,4
6000,-3.672338265635115,0.1,sbvi,0,50,4
6500,-4.452246204205901,0.1,sbvi,0,50,4
7000,-4.714673182912505,0.1,sbvi,0,50,4
7500,-4.858116885781513,0.1,sbvi,0,50,4
8000,-4.058351689400706,0.1,sbvi,0,50,4
8500,-6.040665437557747,0.1,sbvi,0,50,4
9000,-6.186989835095868,0.1,sbvi,0,50,4
9500,-7.679508892999325,0.1,sbvi,0,50,4
10000,-12.586074378090139,0.1,sbvi,0,50,4
10500,-15.295995532023543,0.1,sbvi,0,50,4
11000,-14.572459968423344,0.1,sbvi,0,50,4
11500,-13.847954910241697,0.1,sbvi,0,50,4
12000,-14.523478595018528,0.1,sbvi,0,50,4
12500,-14.620364908739758,0.1,sbvi,0,50,4
