epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-114008.32,-8959333.376,-11879849.984,-9983811.584,-9247876.096,1,mfvi,0,10,0.25
5000,-256636.272,-5106680.832,-4729879.04,-7118135.296,-7378142.208,1,mfvi,0,10,0.25
10000,-169668.64,-4306032.64,-4170110.72,-5957779.456,-6847361.024,1,mfvi,0,10,0.25
15000,-442212.192,-3915827.2,-3124049.408,-4970868.224,-5406329.856,1,mfvi,0,10,0.25
20000,-967526.272,-3977136.64,-2283998.464,-3674473.728,-3684430.848,1,mfvi,0,10,0.25
25000,-1416674.304,-3876192.256,-1786004.48,-2862849.024,-2749047.296,1,mfvi,0,10,0.25
30000,-1655111.424,-3528422.144,-1459319.552,-2116936.192,-2059829.504,1,mfvi,0,10,0.25
35000,-1601600.896,-2881626.624,-1156044.416,-1747245.056,-1468275.712,1,mfvi,0,10,0.25
40000,-1517726.336,-2312765.952,-896166.08,-1203611.904,-1136648.576,1,mfvi,0,10,0.25
45000,-1341712.896,-1879073.024,-687411.2,-906844.672,-833633.856,1,mfvi,0,10,0.25
50000,-1044671.296,-1472225.792,-530815.488,-776161.152,-498047.232,1,mfvi,0,10,0.25
55000,-868983.744,-1197303.808,-435241.664,-495074.976,-388184.192,1,mfvi,0,10,0.25
60000,-797347.392,-1002659.52,-349692.096,-340267.232,-255323.488,1,mfvi,0,10,0.25
65000,-733652.864,-813834.88,-265640.528,-311913.472,-179162.848,1,mfvi,0,10,0.25
70000,-592108.48,-579672.576,-183636.528,-202137.52,-107891.944,1,mfvi,0,10,0.25
75000,-357137.632,-323661.824,-111900.152,-155206.496,-77990.576,1,mfvi,0,10,0.25
80000,-220598.736,-183796.592,-73066.48,-146155.6,-52490.608,1,mfvi,0,10,0.25
85000,-110809.432,-83399.048,-42463.712,-83564.792,-35907.24,1,mfvi,0,10,0.25
90000,-36371.46,-24004.456,-24440.082,-77839.856,-26858.6,1,mfvi,0,10,0.25
95000,-5166.157,-4070.19975,-8331.295,-39171.52,-12395.299,1,mfvi,0,10,0.25
100000,-343.0090625,-1317.614625,-4466.537,-17340.498,-6616.6435,1,mfvi,0,10,0.25
105000,-241.238953125,-1434.40025,-1958.80175,-11499.294,-6575.06,1,mfvi,0,10,0.25
110000,-157.216171875,-627.7085,-1423.49975,-4480.697,-3866.8585,1,mfvi,0,10,0.25
115000,-4.39559130859375,-204.21275,-329.63159375,-1560.297625,-1165.73825,1,mfvi,0,10,0.25
120000,-31.69828515625,-122.979109375,-85.29421875,-368.3239375,-216.7085625,1,mfvi,0,10,0.25
125000,-9.5184228515625,-7.845890625,-3.657182373046875,-102.3479375,-83.9174140625,1,mfvi,0,10,0.25
130000,-3.8295263671875,-3.445207275390625,-2.961661865234375,-53.3551171875,-51.33609765625,1,mfvi,0,10,0.25
135000,-11.0878857421875,-10.917755859375,-6.46927001953125,-29.043728515625,-27.7654140625,1,mfvi,0,10,0.25
140000,-30.35896875,-28.819408203125,-16.3472021484375,-24.90807421875,-24.701234375,1,mfvi,0,10,0.25
145000,-39.8880546875,-38.91910546875,-21.727763671875,-24.79105078125,-24.53760546875,1,mfvi,0,10,0.25
150000,-39.988390625,-38.9926015625,-21.830326171875,-24.732626953125,-24.49404296875,1,mfvi,0,10,0.25
155000,-39.54140625,-38.87737109375,-21.77062890625,-24.780140625,-24.580875,1,mfvi,0,10,0.25
160000,-39.3329296875,-38.5428671875,-21.51773828125,-24.810798828125,-24.565462890625,1,mfvi,0,10,0.25
165000,-39.33591015625,-38.21262890625,-21.45710546875,-24.844369140625,-24.58162109375,1,mfvi,0,10,0.25
170000,-39.5128671875,-38.8745625,-21.671552734375,-24.8178828125,-24.548833984375,1,mfvi,0,10,0.25
175000,-38.93927734375,-37.986296875,-21.6125703125,-24.838296875,-24.590755859375,1,mfvi,0,10,0.25
180000,-39.51944140625,-38.8370546875,-21.483453125,-24.91028125,-24.54437109375,1,mfvi,0,10,0.25
185000,-38.97609765625,-37.9392890625,-21.37148046875,-24.78711328125,-24.57887890625,1,mfvi,0,10,0.25
190000,-39.37703515625,-38.53659375,-21.587037109375,-24.79671875,-24.55132421875,1,mfvi,0,10,0.25
195000,-40.02525,-38.4323203125,-21.5841640625,-24.753208984375,-24.5301953125,1,mfvi,0,10,0.25
200000,-39.7798046875,-38.31933984375,-21.719728515625,-24.83372265625,-24.5537421875,1,mfvi,0,10,0.25
