epoch,ood_ll_var_1,temperature,posterior_type,seed,n_train,frequency
999,-4750.729998477279,0.0001,sbvi,0,4,0.25
1999,-4792.870572379061,0.0001,sbvi,0,4,0.25
2999,-4586.168730183458,0.0001,sbvi,0,4,0.25
3999,-4584.45328178793,0.0001,sbvi,0,4,0.25
4999,-4550.381229950644,0.0001,sbvi,0,4,0.25
5999,-4502.910520071724,0.0001,sbvi,0,4,0.25
6999,-4466.358100638689,0.0001,sbvi,0,4,0.25
7999,-4434.6291582151325,0.0001,sbvi,0,4,0.25
8999,-2778.5857524265043,0.0001,sbvi,0,4,0.25
9999,-2785.6730854264174,0.0001,sbvi,0,4,0.25
10999,-2800.398760113568,0.0001,sbvi,0,4,0.25
11999,-2774.331901624989,0.0001,sbvi,0,4,0.25
12999,-2824.622515430074,0.0001,sbvi,0,4,0.25
13999,-2824.0802562051676,0.0001,sbvi,0,4,0.25
14999,-2805.0221520575633,0.0001,sbvi,0,4,0.25
15999,-2754.5621222915597,0.0001,sbvi,0,4,0.25
16999,-2174.1417895943896,0.0001,sbvi,0,4,0.25
17999,-2170.354441026052,0.0001,sbvi,0,4,0.25
18999,-2112.8733305937208,0.0001,sbvi,0,4,0.25
19999,-2080.5318628632117,0.0001,sbvi,0,4,0.25
20999,-2000.0317415042678,0.0001,sbvi,0,4,0.25
21999,-1890.0052031676123,0.0001,sbvi,0,4,0.25
22999,-1743.4279586514303,0.0001,sbvi,0,4,0.25
23999,-1712.5119059366043,0.0001,sbvi,0,4,0.25
24999,-1640.8937966360472,0.0001,sbvi,0,4,0.25
25999,-1567.2779883454052,0.0001,sbvi,0,4,0.25
26999,-1471.7145861756032,0.0001,sbvi,0,4,0.25
27999,-1352.5292370859215,0.0001,sbvi,0,4,0.25
28999,-1243.8111828845429,0.0001,sbvi,0,4,0.25
29999,-1161.027539523708,0.0001,sbvi,0,4,0.25
30999,-859.1789237274099,0.0001,sbvi,0,4,0.25
31999,-845.4015953819335,0.0001,sbvi,0,4,0.25
32999,-845.6175050395623,0.0001,sbvi,0,4,0.25
33999,-845.2606017209275,0.0001,sbvi,0,4,0.25
34999,-821.9143312526425,0.0001,sbvi,0,4,0.25
35999,-794.2832864365156,0.0001,sbvi,0,4,0.25
36999,-793.8961652527726,0.0001,sbvi,0,4,0.25
37999,-769.6477041462166,0.0001,sbvi,0,4,0.25
38999,-730.113160703274,0.0001,sbvi,0,4,0.25
39999,-728.0919932767366,0.0001,sbvi,0,4,0.25
40999,-715.9348523758854,0.0001,sbvi,0,4,0.25
41999,-715.5812262490564,0.0001,sbvi,0,4,0.25
42999,-731.0275874638941,0.0001,sbvi,0,4,0.25
43999,-753.0787657246774,0.0001,sbvi,0,4,0.25
44999,-756.9819264997747,0.0001,sbvi,0,4,0.25
45999,-755.6610429010057,0.0001,sbvi,0,4,0.25
46999,-756.4415151219589,0.0001,sbvi,0,4,0.25
47999,-744.2820305034317,0.0001,sbvi,0,4,0.25
48999,-734.6703233277451,0.0001,sbvi,0,4,0.25
49999,-716.0425617500712,0.0001,sbvi,0,4,0.25
50999,-696.7269157906783,0.0001,sbvi,0,4,0.25
51999,-720.1814341291582,0.0001,sbvi,0,4,0.25
52999,-711.0826258460621,0.0001,sbvi,0,4,0.25
53999,-700.5003496153163,0.0001,sbvi,0,4,0.25
54999,-720.7780791153566,0.0001,sbvi,0,4,0.25
55999,-688.6978944945023,0.0001,sbvi,0,4,0.25
56999,-690.0834938314335,0.0001,sbvi,0,4,0.25
57999,-703.006019396839,0.0001,sbvi,0,4,0.25
58999,-690.214462311115,0.0001,sbvi,0,4,0.25
59999,-680.1995967379021,0.0001,sbvi,0,4,0.25
60999,-694.5816904699733,0.0001,sbvi,0,4,0.25
61999,-700.8529090018785,0.0001,sbvi,0,4,0.25
62999,-691.1678831254226,0.0001,sbvi,0,4,0.25
63999,-684.2609922669909,0.0001,sbvi,0,4,0.25
64999,-665.5826811831486,0.0001,sbvi,0,4,0.25
65999,-662.6926513681744,0.0001,sbvi,0,4,0.25
66999,-669.2067830508371,0.0001,sbvi,0,4,0.25
67999,-672.821927324274,0.0001,sbvi,0,4,0.25
68999,-651.3308792196237,0.0001,sbvi,0,4,0.25
69999,-660.1904619228325,0.0001,sbvi,0,4,0.25
70999,-662.6930212098175,0.0001,sbvi,0,4,0.25
71999,-662.2780325352636,0.0001,sbvi,0,4,0.25
72999,-648.0558208406715,0.0001,sbvi,0,4,0.25
73999,-668.5242117597405,0.0001,sbvi,0,4,0.25
74999,-678.3104899810041,0.0001,sbvi,0,4,0.25
75999,-669.1147036721122,0.0001,sbvi,0,4,0.25
76999,-640.7080721776055,0.0001,sbvi,0,4,0.25
77999,-654.8865296562766,0.0001,sbvi,0,4,0.25
78999,-648.0818633199827,0.0001,sbvi,0,4,0.25
79999,-653.6077538598212,0.0001,sbvi,0,4,0.25
80999,-652.4230320555147,0.0001,sbvi,0,4,0.25
81999,-633.2770921619436,0.0001,sbvi,0,4,0.25
82999,-642.8741720196687,0.0001,sbvi,0,4,0.25
83999,-623.3152396547669,0.0001,sbvi,0,4,0.25
84999,-637.9117392704867,0.0001,sbvi,0,4,0.25
85999,-616.538086045036,0.0001,sbvi,0,4,0.25
86999,-627.4541761396856,0.0001,sbvi,0,4,0.25
87999,-618.6620220841,0.0001,sbvi,0,4,0.25
88999,-613.1815369651104,0.0001,sbvi,0,4,0.25
