epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-16422.766,-13054.557,-23350.414,-15878.475,-16655.127,0.001,mfvi,1,100,0.5
20000,0.025738761901855468,-0.8028759155273437,-184.91621875,-6121.0895,-8064.2975,0.001,mfvi,1,100,0.5
40000,-0.3087746887207031,-0.667685302734375,-133.482015625,-5518.577,-7788.799,0.001,mfvi,1,100,0.5
60000,-0.4525765380859375,-0.33368359375,-90.03278125,-5173.848,-7111.294,0.001,mfvi,1,100,0.5
80000,-0.8638900146484375,-0.31976913452148437,-62.6823515625,-5176.9865,-7478.7815,0.001,mfvi,1,100,0.5
