epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-1317716.48,-6382953.984,-8254351.872,-5967474.176,-5264454.144,0.01,mfvi,1,1000,3
20000,-14.0911220703125,-75.03759375,-16418.199,-3672020.736,-4530669.056,0.01,mfvi,1,1000,3
40000,-30.962140625,-107.4724453125,-16574.102,-3661505.792,-4485847.552,0.01,mfvi,1,1000,3
60000,-15.1146240234375,-101.276546875,-16548.08,-3646647.04,-4505451.52,0.01,mfvi,1,1000,3
80000,-17.27073046875,-104.854046875,-16431.994,-3627501.312,-4519697.92,0.01,mfvi,1,1000,3
