epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-18582.57421875,1,sbvi,0,4
500,-67.92825317382812,1,sbvi,0,4
1000,-177.5561981201172,1,sbvi,0,4
1500,-135.52847290039062,1,sbvi,0,4
2000,-137.09146118164062,1,sbvi,0,4
2500,-187.05084228515625,1,sbvi,0,4
3000,-240.507568359375,1,sbvi,0,4
3500,-162.80465698242188,1,sbvi,0,4
4000,-195.32691955566406,1,sbvi,0,4
4500,-163.31195068359375,1,sbvi,0,4
5000,-182.2209014892578,1,sbvi,0,4
5500,-89.0219497680664,1,sbvi,0,4
6000,-116.67045593261719,1,sbvi,0,4
6500,-128.95570373535156,1,sbvi,0,4
7000,-162.90321350097656,1,sbvi,0,4
7500,-214.2029266357422,1,sbvi,0,4
8000,-177.44830322265625,1,sbvi,0,4
8500,-145.74037170410156,1,sbvi,0,4
