epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-10.285257339477539,1,mfvi,0,4
500,-10.285257339477539,1,mfvi,0,4
1000,-10.285257339477539,1,mfvi,0,4
1500,-10.285257339477539,1,mfvi,0,4
2000,-10.285257339477539,1,mfvi,0,4
2500,-10.285257339477539,1,mfvi,0,4
3000,-10.285257339477539,1,mfvi,0,4
3500,-10.285257339477539,1,mfvi,0,4
4000,-10.285257339477539,1,mfvi,0,4
4500,-10.285257339477539,1,mfvi,0,4
5000,-10.285257339477539,1,mfvi,0,4
5500,-10.285257339477539,1,mfvi,0,4
6000,-10.285257339477539,1,mfvi,0,4
6500,-10.285257339477539,1,mfvi,0,4
7000,-10.285257339477539,1,mfvi,0,4
7500,-10.285257339477539,1,mfvi,0,4
8000,-10.285257339477539,1,mfvi,0,4
8500,-10.285257339477539,1,mfvi,0,4
