epoch,ood_ll_iid_with_gap,ood_ll_ood_no_gap,temperature,posterior_type,seed,n_train,frequency
9999,-855.6218651012767,-2871.3238186813455,1,mfvi,0,64,1
19999,-2.1790225433846016,-3.303587976517319,1,mfvi,0,64,1
29999,-1.933908247339884,-3.5879599342384783,1,mfvi,0,64,1
39999,-1.4051958003308165,-1.579532636634443,1,mfvi,0,64,1
49999,-0.9161171743207662,-2.2046630613538647,1,mfvi,0,64,1
59999,-1.2738033871876535,-1.5916712821064316,1,mfvi,0,64,1
69999,-2.128710393326058,-2.5754208853672607,1,mfvi,0,64,1
79999,-4.394640799922108,-7.488467733638192,1,mfvi,0,64,1
89999,-0.7797931507597878,-3.4244550008494983,1,mfvi,0,64,1
99999,-0.7197516950576401,-1.8810525422343396,1,mfvi,0,64,1
109999,-0.7200170092681063,-3.1658046711370402,1,mfvi,0,64,1
119999,-1.9811811231256615,-2.9770743127681674,1,mfvi,0,64,1
