epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-376.71282958984375,1,sbvi,0,4
500,-70.76779174804688,1,sbvi,0,4
1000,-129.89109802246094,1,sbvi,0,4
1500,-114.07850646972656,1,sbvi,0,4
2000,-127.1117935180664,1,sbvi,0,4
2500,-71.37326049804688,1,sbvi,0,4
3000,-66.22844696044922,1,sbvi,0,4
3500,-68.12033081054688,1,sbvi,0,4
4000,-78.00141143798828,1,sbvi,0,4
4500,-56.1993293762207,1,sbvi,0,4
5000,-48.243675231933594,1,sbvi,0,4
5500,-68.33765411376953,1,sbvi,0,4
6000,-40.977874755859375,1,sbvi,0,4
6500,-37.649681091308594,1,sbvi,0,4
7000,-110.21818542480469,1,sbvi,0,4
7500,-70.73700714111328,1,sbvi,0,4
8000,-34.87211227416992,1,sbvi,0,4
8500,-72.39022064208984,1,sbvi,0,4
9000,-111.0273666381836,1,sbvi,0,4
