epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train,frequency
0,-44.86990625,1,sbvi,0,4,0.5
500,-37.28971484375,1,sbvi,0,4,0.5
1000,-36.41461328125,1,sbvi,0,4,0.5
1500,-35.80116796875,1,sbvi,0,4,0.5
2000,-35.38223046875,1,sbvi,0,4,0.5
2500,-34.6838828125,1,sbvi,0,4,0.5
3000,-34.460015625,1,sbvi,0,4,0.5
3500,-34.0102578125,1,sbvi,0,4,0.5
4000,-33.7858515625,1,sbvi,0,4,0.5
4500,-33.57038671875,1,sbvi,0,4,0.5
5000,-33.5888984375,1,sbvi,0,4,0.5
5500,-33.363171875,1,sbvi,0,4,0.5
6000,-33.4119296875,1,sbvi,0,4,0.5
6500,-33.101578125,1,sbvi,0,4,0.5
7000,-33.4211171875,1,sbvi,0,4,0.5
7500,-32.65449609375,1,sbvi,0,4,0.5
8000,-32.8402578125,1,sbvi,0,4,0.5
8500,-32.82123046875,1,sbvi,0,4,0.5
9000,-31.641984375,1,sbvi,0,4,0.5
9500,-32.342625,1,sbvi,0,4,0.5
10000,-32.359951171875,1,sbvi,0,4,0.5
10500,-32.061568359375,1,sbvi,0,4,0.5
11000,-32.41849609375,1,sbvi,0,4,0.5
11500,-32.490138671875,1,sbvi,0,4,0.5
12000,-31.361294921875,1,sbvi,0,4,0.5
12500,-31.34990234375,1,sbvi,0,4,0.5
13000,-33.094640625,1,sbvi,0,4,0.5
13500,-31.261783203125,1,sbvi,0,4,0.5
14000,-33.60319921875,1,sbvi,0,4,0.5
14500,-31.16883203125,1,sbvi,0,4,0.5
15000,-32.20099609375,1,sbvi,0,4,0.5
15500,-33.58925390625,1,sbvi,0,4,0.5
