epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train,frequency
0,-5337.2245,1,sbvi,0,100,1
10000,-3.40156689453125,1,sbvi,0,100,1
20000,-2.316223388671875,1,sbvi,0,100,1
30000,-1.9822630615234376,1,sbvi,0,100,1
40000,-1.8989739990234376,1,sbvi,0,100,1
50000,-1.8840028076171875,1,sbvi,0,100,1
60000,-1.9511209716796876,1,sbvi,0,100,1
70000,-1.3358526611328125,1,sbvi,0,100,1
80000,-1.768255615234375,1,sbvi,0,100,1
90000,-3.211946044921875,1,sbvi,0,100,1
100000,-4.80030517578125,1,sbvi,0,100,1
