epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-114685.832,-8991762.432,-11902172.16,-9983952.896,-9245952.0,0.0001,mfvi,0,10,8
5000,-215316.48,-5195776.0,-4744912.896,-7615997.952,-7523398.656,0.0001,mfvi,0,10,8
10000,-54268.896,-4701939.712,-4675398.656,-7723167.744,-7702705.152,0.0001,mfvi,0,10,8
15000,-38920.48,-4191271.936,-4573666.816,-7762380.8,-7783384.064,0.0001,mfvi,0,10,8
20000,-87398.888,-3811878.912,-4462289.92,-7797876.224,-7825522.688,0.0001,mfvi,0,10,8
25000,-114881.464,-3609657.856,-4388244.992,-7877495.296,-7873513.472,0.0001,mfvi,0,10,8
30000,-120125.952,-3507895.296,-4298802.176,-7970275.84,-7954714.624,0.0001,mfvi,0,10,8
35000,-96870.248,-3476280.064,-4203989.504,-8035798.016,-8059591.168,0.0001,mfvi,0,10,8
40000,-86203.784,-3465770.496,-4132331.776,-8047431.68,-8091934.72,0.0001,mfvi,0,10,8
45000,-88930.192,-3484120.832,-4123023.36,-8069548.032,-8137812.992,0.0001,mfvi,0,10,8
50000,-81416.544,-3505937.408,-4127412.992,-8070883.84,-8177771.008,0.0001,mfvi,0,10,8
55000,-84057.536,-3500008.96,-4122845.184,-8089075.712,-8195294.208,0.0001,mfvi,0,10,8
60000,-81273.8,-3508381.696,-4115917.824,-8088446.464,-8194149.888,0.0001,mfvi,0,10,8
65000,-77971.392,-3512934.912,-4108688.128,-8079600.64,-8204286.976,0.0001,mfvi,0,10,8
70000,-76673.488,-3520067.328,-4100952.064,-8070028.8,-8195243.52,0.0001,mfvi,0,10,8
75000,-73907.704,-3515894.784,-4089921.536,-8066422.272,-8202442.24,0.0001,mfvi,0,10,8
80000,-72447.216,-3521056.256,-4075089.408,-8058307.584,-8215633.92,0.0001,mfvi,0,10,8
85000,-75139.472,-3522636.288,-4064316.416,-8038093.312,-8199974.912,0.0001,mfvi,0,10,8
90000,-72761.112,-3532623.36,-4051283.2,-8016905.216,-8184094.72,0.0001,mfvi,0,10,8
95000,-67526.0,-3552342.528,-4038085.632,-7977041.92,-8157268.992,0.0001,mfvi,0,10,8
100000,-68576.296,-3554920.448,-4026703.872,-7972301.824,-8160802.816,0.0001,mfvi,0,10,8
105000,-66503.892,-3558383.36,-4015889.408,-7954010.112,-8160475.136,0.0001,mfvi,0,10,8
110000,-65063.976,-3559392.256,-4004598.784,-7947623.424,-8165667.84,0.0001,mfvi,0,10,8
115000,-64550.584,-3593652.224,-3998059.264,-7927561.216,-8148272.128,0.0001,mfvi,0,10,8
120000,-64542.904,-3610299.904,-3982149.12,-7909021.696,-8139415.552,0.0001,mfvi,0,10,8
125000,-62292.568,-3596091.392,-3950993.408,-7893751.296,-8139664.896,0.0001,mfvi,0,10,8
130000,-59950.116,-3542364.672,-3870225.408,-7868354.048,-8145685.504,0.0001,mfvi,0,10,8
135000,-58568.548,-3500890.624,-3830987.264,-7859169.28,-8159818.24,0.0001,mfvi,0,10,8
140000,-55735.212,-3506965.76,-3807577.6,-7827913.728,-8146664.96,0.0001,mfvi,0,10,8
145000,-58062.4,-3473220.608,-3773120.0,-7823142.4,-8153996.8,0.0001,mfvi,0,10,8
150000,-63255.36,-3446160.384,-3743701.504,-7809407.488,-8168454.656,0.0001,mfvi,0,10,8
155000,-66792.712,-3429968.896,-3731831.296,-7811865.088,-8216233.984,0.0001,mfvi,0,10,8
160000,-62583.288,-3444150.528,-3732878.08,-7806757.376,-8163869.696,0.0001,mfvi,0,10,8
165000,-61431.464,-3445661.696,-3727305.728,-7803528.704,-8198809.6,0.0001,mfvi,0,10,8
170000,-61866.556,-3443988.48,-3724363.264,-7786506.752,-8205133.824,0.0001,mfvi,0,10,8
175000,-54021.592,-3456824.32,-3720778.752,-7783945.216,-8236525.568,0.0001,mfvi,0,10,8
180000,-46945.368,-3472242.944,-3721114.112,-7763074.56,-8194039.296,0.0001,mfvi,0,10,8
185000,-45017.08,-3476863.488,-3718110.464,-7761512.448,-8243870.72,0.0001,mfvi,0,10,8
190000,-44840.264,-3470136.064,-3712794.368,-7748796.416,-8232421.376,0.0001,mfvi,0,10,8
195000,-42348.792,-3469557.76,-3707518.72,-7745986.048,-8247946.24,0.0001,mfvi,0,10,8
200000,-37821.348,-3470145.536,-3701447.68,-7730910.208,-8260663.296,0.0001,mfvi,0,10,8
