epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train,frequency
0,-5337.196,1,sbvi,0,100,1
10000,-2.3650498046875,1,sbvi,0,100,1
20000,-1.0579981689453124,1,sbvi,0,100,1
30000,-0.8841451416015625,1,sbvi,0,100,1
40000,-1.0198631591796874,1,sbvi,0,100,1
50000,-1.1409337158203126,1,sbvi,0,100,1
60000,-1.6409072265625,1,sbvi,0,100,1
70000,-4.6010908203125,1,sbvi,0,100,1
80000,-11.5928974609375,1,sbvi,0,100,1
90000,-18.61512890625,1,sbvi,0,100,1
100000,-17.813041015625,1,sbvi,0,100,1
