epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-2615921.664,-4160307.968,-6123308.544,-8123260.416,-7759934.976,0.01,mfvi,1,10,3
20000,-1308286.208,-1173043.456,-2925944.32,-7269571.072,-7143118.848,0.01,mfvi,1,10,3
40000,-1143806.592,-1137352.448,-2609036.032,-6615400.96,-6580277.248,0.01,mfvi,1,10,3
60000,-1206353.28,-1187014.016,-2506588.16,-6258280.448,-6434044.416,0.01,mfvi,1,10,3
80000,-1231315.584,-1189587.072,-2457556.736,-6372311.552,-6038351.872,0.01,mfvi,1,10,3
