epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-4491564.032,-4192916.48,-4601268.736,-8270380.544,-8977496.064,0.001,mfvi,1,100,0.25
20000,-44.63076171875,-1736.712,-403471.616,-5913079.296,-8323395.072,0.001,mfvi,1,100,0.25
40000,-39.78473046875,-1717.20175,-423912.768,-5964868.096,-8445619.2,0.001,mfvi,1,100,0.25
60000,-45.3856953125,-1682.2565,-439921.952,-6032487.424,-8758222.848,0.001,mfvi,1,100,0.25
80000,-21.144134765625,-1766.97225,-454428.384,-6065731.072,-8407480.832,0.001,mfvi,1,100,0.25
