epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-2616184.832,-4163424.768,-6122780.672,-8117828.096,-7766725.632,0.001,mfvi,1,10,0.5
20000,-1174271.744,-1090245.248,-2968788.992,-7534642.688,-7352837.632,0.001,mfvi,1,10,0.5
40000,-1002527.808,-1087837.312,-2718239.744,-7041332.224,-6819526.656,0.001,mfvi,1,10,0.5
60000,-1040860.288,-1112835.456,-2578803.712,-6836004.864,-6717648.896,0.001,mfvi,1,10,0.5
80000,-1086952.96,-1138430.208,-2518423.296,-6684233.216,-6754584.064,0.001,mfvi,1,10,0.5
