epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-312980.16,-332126.816,-240104.976,-271774.816,-270713.888,0.001,mfvi,1,10,3
20000,-308.9605625,-384.97815625,-3435.31625,-11924.608,-14295.13,0.001,mfvi,1,10,3
40000,-187.142171875,-290.21775,-2425.48475,-7558.495,-8525.618,0.001,mfvi,1,10,3
60000,-48.20377734375,-122.619265625,-2113.178,-6827.553,-7379.8455,0.001,mfvi,1,10,3
80000,-40.18344140625,-52.007171875,-1791.118125,-6541.407,-6182.575,0.001,mfvi,1,10,3
