epoch,ood_ll_var_0.3,temperature,posterior_type,seed,n_train,frequency
0,-165.9472444272834,0.0001,sbvi,0,4,4
500,-37.889268710626624,0.0001,sbvi,0,4,4
1000,-37.26551296074496,0.0001,sbvi,0,4,4
1500,-38.0578340908435,0.0001,sbvi,0,4,4
2000,-37.33961306421195,0.0001,sbvi,0,4,4
2500,-38.401778091122296,0.0001,sbvi,0,4,4
3000,-38.23342040704161,0.0001,sbvi,0,4,4
3500,-39.236885353900654,0.0001,sbvi,0,4,4
4000,-38.66000782623483,0.0001,sbvi,0,4,4
4500,-39.21960191028532,0.0001,sbvi,0,4,4
5000,-38.579052226763324,0.0001,sbvi,0,4,4
5500,-39.45628861254515,0.0001,sbvi,0,4,4
