epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-43063231119.36,1,mfvi,0,100
10000,-76357248.0,1,mfvi,0,100
20000,-4038571.84,1,mfvi,0,100
30000,-2848.06875,1,mfvi,0,100
40000,-5740.735,1,mfvi,0,100
50000,-617.584765625,1,mfvi,0,100
60000,-158.988095703125,1,mfvi,0,100
70000,-631.6923046875,1,mfvi,0,100
80000,-39.96290283203125,1,mfvi,0,100
90000,-65.54173828125,1,mfvi,0,100
100000,-7.09093994140625,1,mfvi,0,100
110000,-1.67551513671875,1,mfvi,0,100
120000,-4.116123046875,1,mfvi,0,100
130000,-1.7088224792480469,1,mfvi,0,100
140000,-1.7121029663085938,1,mfvi,0,100
