epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-200.05021875,1,mfvi,0,1000
10000,0.8603006591796875,1,mfvi,0,1000
20000,0.859330322265625,1,mfvi,0,1000
30000,0.89076318359375,1,mfvi,0,1000
40000,0.8914935302734375,1,mfvi,0,1000
50000,0.891736572265625,1,mfvi,0,1000
60000,0.8917743530273438,1,mfvi,0,1000
70000,0.89181640625,1,mfvi,0,1000
80000,0.8916541137695313,1,mfvi,0,1000
90000,0.8917196655273437,1,mfvi,0,1000
100000,0.8916331176757812,1,mfvi,0,1000
110000,0.8916383056640625,1,mfvi,0,1000
120000,0.8917001342773437,1,mfvi,0,1000
130000,0.8916180419921875,1,mfvi,0,1000
140000,0.8918245849609375,1,mfvi,0,1000
150000,0.891792236328125,1,mfvi,0,1000
160000,0.8916842041015625,1,mfvi,0,1000
170000,0.8912250366210938,1,mfvi,0,1000
180000,0.89156396484375,1,mfvi,0,1000
190000,0.8917451171875,1,mfvi,0,1000
200000,0.8915667724609375,1,mfvi,0,1000
210000,0.891705810546875,1,mfvi,0,1000
220000,0.8915477294921875,1,mfvi,0,1000
230000,0.8917788696289063,1,mfvi,0,1000
240000,0.8915799560546875,1,mfvi,0,1000
250000,0.891691162109375,1,mfvi,0,1000
260000,0.89133447265625,1,mfvi,0,1000
270000,0.8914037475585938,1,mfvi,0,1000
280000,0.891465576171875,1,mfvi,0,1000
290000,0.8912391967773438,1,mfvi,0,1000
300000,0.8915831298828125,1,mfvi,0,1000
310000,0.8914532470703125,1,mfvi,0,1000
320000,0.89147216796875,1,mfvi,0,1000
330000,0.89124267578125,1,mfvi,0,1000
340000,0.8916832275390625,1,mfvi,0,1000
350000,0.891571044921875,1,mfvi,0,1000
360000,0.8916661376953126,1,mfvi,0,1000
370000,0.8909249877929688,1,mfvi,0,1000
380000,0.8914666748046876,1,mfvi,0,1000
390000,0.8914749755859375,1,mfvi,0,1000
400000,0.8913576049804688,1,mfvi,0,1000
410000,0.8916189575195312,1,mfvi,0,1000
420000,0.8915263061523437,1,mfvi,0,1000
430000,0.8916220703125,1,mfvi,0,1000
440000,0.8914171142578124,1,mfvi,0,1000
450000,0.891538818359375,1,mfvi,0,1000
460000,0.891532470703125,1,mfvi,0,1000
470000,0.8911759643554688,1,mfvi,0,1000
480000,0.8911671142578125,1,mfvi,0,1000
490000,0.89158984375,1,mfvi,0,1000
500000,0.8912742309570313,1,mfvi,0,1000
