epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-39572.456,-1019440.064,-12642584.576,-17587531.776,-19100565.504,1,mfvi,0,8,1.0
5000,-1232721.152,-2857166.848,-3528947.2,-11989849.088,-13981123.584,1,mfvi,0,8,1.0
10000,-956061.056,-2456181.504,-2773209.856,-10313721.856,-14193129.472,1,mfvi,0,8,1.0
15000,-1400901.76,-2674063.616,-2264895.744,-8359773.696,-10819052.544,1,mfvi,0,8,1.0
20000,-2555582.72,-3578977.024,-2464035.328,-7750518.272,-8587472.896,1,mfvi,0,8,1.0
25000,-2320878.592,-3277965.312,-2134326.528,-7310722.048,-7107574.784,1,mfvi,0,8,1.0
30000,-1356350.464,-2310925.824,-1772065.536,-5555620.864,-5986856.96,1,mfvi,0,8,1.0
35000,-1001667.328,-1868679.68,-1722155.776,-4986225.664,-5035560.96,1,mfvi,0,8,1.0
40000,-829323.072,-1600397.056,-1625923.584,-3457321.216,-3823399.424,1,mfvi,0,8,1.0
45000,-562984.128,-1310775.04,-1502439.424,-3462917.888,-3522767.104,1,mfvi,0,8,1.0
50000,-459730.4,-1154392.32,-1287253.632,-3208504.32,-2477217.536,1,mfvi,0,8,1.0
55000,-427122.08,-988273.536,-1051668.48,-2608926.208,-2204154.368,1,mfvi,0,8,1.0
60000,-369318.048,-809554.304,-850442.304,-1802569.856,-1469336.704,1,mfvi,0,8,1.0
65000,-225611.52,-585990.656,-652697.408,-1606056.832,-1306656.384,1,mfvi,0,8,1.0
70000,-162034.88,-458727.168,-502433.376,-1460204.288,-956002.112,1,mfvi,0,8,1.0
75000,-108465.544,-343734.784,-390249.408,-1134602.112,-885097.6,1,mfvi,0,8,1.0
80000,-120738.952,-282743.424,-307229.728,-1385709.824,-630759.424,1,mfvi,0,8,1.0
85000,-116901.936,-211552.528,-201887.424,-1128264.576,-555058.432,1,mfvi,0,8,1.0
90000,-146349.536,-171031.008,-127077.92,-922694.272,-449769.408,1,mfvi,0,8,1.0
95000,-215791.36,-166209.92,-96977.872,-656188.288,-330156.8,1,mfvi,0,8,1.0
100000,-259364.992,-179997.744,-86344.608,-557541.44,-267856.784,1,mfvi,0,8,1.0
105000,-254498.176,-170517.44,-84959.92,-458023.168,-188105.2,1,mfvi,0,8,1.0
110000,-231541.184,-166331.408,-87829.888,-330225.824,-105006.512,1,mfvi,0,8,1.0
115000,-134671.456,-94260.184,-59403.416,-254285.888,-87280.04,1,mfvi,0,8,1.0
120000,-63586.864,-44372.952,-28162.908,-174754.816,-44611.768,1,mfvi,0,8,1.0
125000,-20493.722,-17207.788,-6786.496,-115530.848,-25600.208,1,mfvi,0,8,1.0
130000,-886.5255,-1512.3285,-2072.52275,-42557.264,-10114.092,1,mfvi,0,8,1.0
135000,-12.4028046875,-210.336390625,-1271.152,-20576.56,-5789.483,1,mfvi,0,8,1.0
140000,-1061.3995,-1817.448875,-715.6480625,-10599.286,-2873.546,1,mfvi,0,8,1.0
145000,-107.0376484375,-228.46059375,-165.335625,-5393.608,-1483.627125,1,mfvi,0,8,1.0
150000,-372.728,-287.2338125,-139.01915625,-1710.22375,-881.8996875,1,mfvi,0,8,1.0
155000,-210.9905625,-170.394046875,-60.65944921875,-347.730625,-203.41934375,1,mfvi,0,8,1.0
160000,-97.6069921875,-80.951296875,-35.15124609375,-57.5594765625,-62.4433203125,1,mfvi,0,8,1.0
165000,-87.42490625,-69.121140625,-31.041525390625,-25.604875,-23.626796875,1,mfvi,0,8,1.0
170000,-80.868328125,-64.2048046875,-29.7661640625,-26.900515625,-25.802625,1,mfvi,0,8,1.0
175000,-76.030484375,-59.99384375,-28.98723828125,-27.80891015625,-27.39171875,1,mfvi,0,8,1.0
180000,-76.474015625,-59.6241015625,-29.0304609375,-27.844451171875,-27.54690625,1,mfvi,0,8,1.0
185000,-75.5824765625,-59.8572265625,-28.89316796875,-27.9239296875,-27.4396953125,1,mfvi,0,8,1.0
190000,-77.3828125,-60.2083984375,-29.06525,-28.006171875,-27.8871328125,1,mfvi,0,8,1.0
195000,-76.604828125,-59.195734375,-29.0189375,-27.971255859375,-27.5132578125,1,mfvi,0,8,1.0
200000,-77.9538515625,-59.7117734375,-29.3404296875,-28.15884765625,-27.82035546875,1,mfvi,0,8,1.0
