epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-305232.576,-313345.152,-610208.576,-18844217.344,-1881204719.616,1,sbvi,0,1000,1.0
10000,0.621850341796875,0.5933800048828125,-0.07609033203125,-89708.752,-17985484.8,1,sbvi,0,1000,1.0
20000,0.7528294677734375,0.7205567016601563,0.2793634948730469,-63640.14,-14153711.616,1,sbvi,0,1000,1.0
30000,0.7818258056640625,0.6707301025390625,0.42289495849609376,-31331.768,-8319403.52,1,sbvi,0,1000,1.0
40000,-0.12366518402099609,-0.1495083465576172,-0.9655662841796875,-21977.99,-6559663.616,1,sbvi,0,1000,1.0
50000,0.679139892578125,0.5975396118164062,-0.48967733764648436,-19791.568,-5706707.968,1,sbvi,0,1000,1.0
