temperature,posterior_type,final_val_ll
0.01,mfvi,175.92141723632812
10.0,mfvi,-715.5750732421875
0.03,mfvi,163.71658325195312
1.0,mfvi,-536.503662109375
0.3,mfvi,-117.62249755859376
0.1,mfvi,139.76821899414062
3.0,mfvi,-158.29873657226562
