epoch,ood_ll_iid_with_gap,ood_ll_ood_no_gap,seed,n_train,frequency
9999,-122.23675951380751,-254.73978973135513,0,64,1
19999,-295.96328988364075,-669.3492920024923,0,64,1
29999,-77.6907917697447,-147.74580872482545,0,64,1
39999,-295.96390077233195,-669.3507456546491,0,64,1
49999,-493.6339618911667,-1140.9531023020534,0,64,1
