epoch,ood_ll_iid_with_gap,ood_ll_ood_no_gap,temperature,posterior_type,seed,n_train,frequency
9999,-166737.06782248348,-1078019.0064311845,1,mfvi,0,64,1
19999,-79125.27444946064,-473021.0609058245,1,mfvi,0,64,1
29999,-32857.43078455533,-169374.01868210125,1,mfvi,0,64,1
39999,-10345.266966725481,-50321.32936562998,1,mfvi,0,64,1
49999,-643.387036693286,-5895.452452417264,1,mfvi,0,64,1
59999,-12.03602192208491,-5.142950225284206,1,mfvi,0,64,1
69999,-3.063302428265898,-3.8841958122559563,1,mfvi,0,64,1
79999,-3.3368830774426277,-2.5923440281528674,1,mfvi,0,64,1
89999,-1.2812399379665163,-2.321716477274405,1,mfvi,0,64,1
99999,-0.8860228457551959,-1.8210196451453038,1,mfvi,0,64,1
109999,-1.1037596098129594,-2.2902049032212797,1,mfvi,0,64,1
119999,-0.5922300688813217,-3.8831207636633627,1,mfvi,0,64,1
129999,-2.206063617626987,-2.7643497182332126,1,mfvi,0,64,1
