epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-61.160789489746094,1,mfvi,0,4
500,-26.63579750061035,1,mfvi,0,4
1000,-23.54823112487793,1,mfvi,0,4
1500,-20.261219024658203,1,mfvi,0,4
2000,-18.65071678161621,1,mfvi,0,4
2500,-17.031356811523438,1,mfvi,0,4
3000,-16.813873291015625,1,mfvi,0,4
3500,-13.688011169433594,1,mfvi,0,4
4000,-13.212018013000488,1,mfvi,0,4
4500,-11.45880126953125,1,mfvi,0,4
5000,-10.721921920776367,1,mfvi,0,4
5500,-7.7948102951049805,1,mfvi,0,4
6000,-8.265790939331055,1,mfvi,0,4
6500,-6.520923614501953,1,mfvi,0,4
7000,-6.157665252685547,1,mfvi,0,4
7500,-5.570720195770264,1,mfvi,0,4
8000,-4.854238986968994,1,mfvi,0,4
8500,-5.048980712890625,1,mfvi,0,4
9000,-4.051846027374268,1,mfvi,0,4
9500,-3.451645612716675,1,mfvi,0,4
10000,-2.5116589069366455,1,mfvi,0,4
10500,-2.7366905212402344,1,mfvi,0,4
11000,-2.2450220584869385,1,mfvi,0,4
11500,-2.2646615505218506,1,mfvi,0,4
12000,-1.507858395576477,1,mfvi,0,4
12500,-0.9937779307365417,1,mfvi,0,4
13000,-1.1748753786087036,1,mfvi,0,4
13500,-0.8622120022773743,1,mfvi,0,4
14000,-1.2302290201187134,1,mfvi,0,4
14500,-0.7305763363838196,1,mfvi,0,4
15000,-0.23705950379371643,1,mfvi,0,4
15500,0.13699205219745636,1,mfvi,0,4
16000,-0.6203796863555908,1,mfvi,0,4
16500,-0.5404898524284363,1,mfvi,0,4
17000,-0.17627593874931335,1,mfvi,0,4
17500,0.0016770362854003906,1,mfvi,0,4
18000,0.28867655992507935,1,mfvi,0,4
