epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-16397.725,-12155.961,-23507.384,-15904.192,-16719.885,0.0001,mfvi,1,100,3
20000,-0.18607290649414063,-1.253976318359375,-200.5771875,-6446.851,-9654.925,0.0001,mfvi,1,100,3
40000,-0.4323576965332031,-1.3012879638671875,-201.804359375,-6403.4475,-9050.23,0.0001,mfvi,1,100,3
60000,-0.18069291687011718,-1.1679447021484375,-198.92103125,-6301.5875,-8811.558,0.0001,mfvi,1,100,3
80000,-0.30574945068359377,-0.9780311889648438,-191.819203125,-6234.564,-8530.16,0.0001,mfvi,1,100,3
