epoch,ood_ll_iid_with_gap,ood_ll_ood_no_gap,seed,n_train,frequency
9999,-12203.024042476634,-6000163.49397889,0,64,1
19999,-1124.5411653651388,-4271191.913011938,0,64,1
29999,-478.43483868493087,-3019040.5731146326,0,64,1
39999,-445.90352187675506,-2098355.473906217,0,64,1
49999,-501.921332839289,-1426090.9671688348,0,64,1
59999,-544.1216704432774,-972023.900660612,0,64,1
69999,-289.370358719949,-680943.0483914269,0,64,1
79999,-281.87115147409276,-503076.9533551513,0,64,1
89999,-280.88918005141073,-381673.17828124727,0,64,1
99999,-336.6005481061816,-283182.93524468143,0,64,1
109999,-274.99266158541036,-207924.2915905664,0,64,1
119999,-285.94378706991415,-144194.69007715603,0,64,1
129999,-292.33262073516295,-100607.78719954516,0,64,1
139999,-314.6324729805381,-76563.79835658321,0,64,1
149999,-284.5836279428269,-58621.13622335843,0,64,1
159999,-335.40717625156555,-48118.54309146281,0,64,1
169999,-306.38338486768674,-38016.16739580269,0,64,1
179999,-301.5685026541641,-27745.682238058445,0,64,1
