epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-15074.704766267541,1,mfvi,0,4
500,-17891.060020615907,1,mfvi,0,4
1000,-9679.299479056792,1,mfvi,0,4
1500,-20204.82528523219,1,mfvi,0,4
2000,-9069.934936035595,1,mfvi,0,4
2500,-19446.451858265784,1,mfvi,0,4
3000,-12954.468121946516,1,mfvi,0,4
3500,-1425.751675832033,1,mfvi,0,4
4000,-24008.831448484238,1,mfvi,0,4
4500,-9872.818832049334,1,mfvi,0,4
5000,-7615.9048425713945,1,mfvi,0,4
5500,-9215.37188888524,1,mfvi,0,4
6000,-25757.918361648615,1,mfvi,0,4
6500,-19754.75052616885,1,mfvi,0,4
7000,-4530.075664400752,1,mfvi,0,4
7500,-10839.881285419451,1,mfvi,0,4
8000,-12295.090557196125,1,mfvi,0,4
8500,-13683.534809233995,1,mfvi,0,4
9000,-7157.439214506737,1,mfvi,0,4
9500,-767.2973075686675,1,mfvi,0,4
10000,-2747.1412684543166,1,mfvi,0,4
10500,-5140.428664285615,1,mfvi,0,4
11000,-14342.222185462631,1,mfvi,0,4
11500,-10707.507594341292,1,mfvi,0,4
12000,-5949.416814447996,1,mfvi,0,4
12500,-11213.798397406837,1,mfvi,0,4
13000,-11753.80559212915,1,mfvi,0,4
13500,-6810.148972557899,1,mfvi,0,4
14000,-9973.398683694779,1,mfvi,0,4
14500,-9136.548139571936,1,mfvi,0,4
15000,-8802.533968868413,1,mfvi,0,4
15500,-6249.745748415511,1,mfvi,0,4
16000,-9525.047807378107,1,mfvi,0,4
16500,-10890.454844654418,1,mfvi,0,4
17000,-9221.028456122056,1,mfvi,0,4
17500,-22741.758352373407,1,mfvi,0,4
18000,-12425.966622054197,1,mfvi,0,4
18500,-9798.425353179471,1,mfvi,0,4
19000,-17472.647326348713,1,mfvi,0,4
19500,-26539.792229317944,1,mfvi,0,4
20000,-17413.39845632304,1,mfvi,0,4
20500,-8849.565563712747,1,mfvi,0,4
21000,-9490.081418881144,1,mfvi,0,4
21500,-11292.826384101096,1,mfvi,0,4
22000,-22439.93894456258,1,mfvi,0,4
22500,-17418.49839917422,1,mfvi,0,4
23000,-7092.024388116573,1,mfvi,0,4
23500,-8264.881845030426,1,mfvi,0,4
24000,-11493.815626822878,1,mfvi,0,4
24500,-6847.633268457549,1,mfvi,0,4
25000,-8547.736681345737,1,mfvi,0,4
25500,-7228.6593239868425,1,mfvi,0,4
