epoch,ood_ll_var_0.3,temperature,posterior_type,seed,n_train,frequency
0,-1512.133127127521,0.0001,sbvi,0,50,4
500,-23.536651086642166,0.0001,sbvi,0,50,4
1000,-12.123886305024659,0.0001,sbvi,0,50,4
1500,-4.966401362658654,0.0001,sbvi,0,50,4
2000,-4.100213877437239,0.0001,sbvi,0,50,4
2500,-4.044697877162388,0.0001,sbvi,0,50,4
3000,-3.9638396106364757,0.0001,sbvi,0,50,4
3500,-3.9570106923904724,0.0001,sbvi,0,50,4
4000,-3.900075723908608,0.0001,sbvi,0,50,4
4500,-3.9152191453571032,0.0001,sbvi,0,50,4
5000,-4.014014366405065,0.0001,sbvi,0,50,4
5500,-3.7498591089476703,0.0001,sbvi,0,50,4
6000,-3.760879461525167,0.0001,sbvi,0,50,4
6500,-3.7554917006440984,0.0001,sbvi,0,50,4
7000,-3.8402134800058563,0.0001,sbvi,0,50,4
7500,-3.8512514159827806,0.0001,sbvi,0,50,4
8000,-3.8136285993874974,0.0001,sbvi,0,50,4
8500,-3.793800848308628,0.0001,sbvi,0,50,4
9000,-3.801080747798845,0.0001,sbvi,0,50,4
9500,-3.7602577875855188,0.0001,sbvi,0,50,4
10000,-3.646507767390439,0.0001,sbvi,0,50,4
10500,-3.7535060965901588,0.0001,sbvi,0,50,4
11000,-3.677182874460586,0.0001,sbvi,0,50,4
11500,-3.6261265400888463,0.0001,sbvi,0,50,4
12000,-3.677525379689027,0.0001,sbvi,0,50,4
12500,-3.487676751676993,0.0001,sbvi,0,50,4
13000,-3.4742656413128605,0.0001,sbvi,0,50,4
13500,-3.479680303993221,0.0001,sbvi,0,50,4
14000,-3.4525507760319285,0.0001,sbvi,0,50,4
14500,-3.456035590869191,0.0001,sbvi,0,50,4
15000,-3.383462546354163,0.0001,sbvi,0,50,4
15500,-3.4110370545797988,0.0001,sbvi,0,50,4
16000,-3.3769607842770637,0.0001,sbvi,0,50,4
16500,-3.309647875106868,0.0001,sbvi,0,50,4
17000,-3.2228690199694783,0.0001,sbvi,0,50,4
17500,-3.4045980304224597,0.0001,sbvi,0,50,4
18000,-3.325507036066764,0.0001,sbvi,0,50,4
18500,-3.4471832569328416,0.0001,sbvi,0,50,4
19000,-3.4469386071149404,0.0001,sbvi,0,50,4
19500,-3.3952512083281907,0.0001,sbvi,0,50,4
20000,-3.3609765571906625,0.0001,sbvi,0,50,4
20500,-3.215635941278892,0.0001,sbvi,0,50,4
21000,-3.4451199492244617,0.0001,sbvi,0,50,4
21500,-3.2669060697222863,0.0001,sbvi,0,50,4
22000,-3.362089836923258,0.0001,sbvi,0,50,4
22500,-3.202164850947581,0.0001,sbvi,0,50,4
23000,-3.3494616227510194,0.0001,sbvi,0,50,4
23500,-3.2988553704086185,0.0001,sbvi,0,50,4
24000,-3.2271416758369207,0.0001,sbvi,0,50,4
24500,-3.1482457454729293,0.0001,sbvi,0,50,4
25000,-3.115848648211343,0.0001,sbvi,0,50,4
25500,-3.0029874263198524,0.0001,sbvi,0,50,4
26000,-3.0484108106582806,0.0001,sbvi,0,50,4
26500,-3.06009631089038,0.0001,sbvi,0,50,4
27000,-2.9792988509255034,0.0001,sbvi,0,50,4
27500,-2.9360566352082467,0.0001,sbvi,0,50,4
28000,-2.9384799831000743,0.0001,sbvi,0,50,4
28500,-2.98337668188477,0.0001,sbvi,0,50,4
29000,-2.958636930692706,0.0001,sbvi,0,50,4
29500,-3.051673812474982,0.0001,sbvi,0,50,4
30000,-2.97567709601746,0.0001,sbvi,0,50,4
30500,-3.039079775626474,0.0001,sbvi,0,50,4
31000,-3.003161364080572,0.0001,sbvi,0,50,4
31500,-3.12661697579301,0.0001,sbvi,0,50,4
32000,-3.024370363996097,0.0001,sbvi,0,50,4
32500,-3.075908250158009,0.0001,sbvi,0,50,4
33000,-3.0452408485804003,0.0001,sbvi,0,50,4
33500,-2.9909586441625464,0.0001,sbvi,0,50,4
34000,-3.0238335122790843,0.0001,sbvi,0,50,4
34500,-3.3243522079035315,0.0001,sbvi,0,50,4
35000,-3.404659433229055,0.0001,sbvi,0,50,4
35500,-3.3742214127306522,0.0001,sbvi,0,50,4
36000,-3.349060458200628,0.0001,sbvi,0,50,4
36500,-3.4322072244814064,0.0001,sbvi,0,50,4
37000,-3.5012554973209054,0.0001,sbvi,0,50,4
37500,-3.532998754616787,0.0001,sbvi,0,50,4
38000,-3.5603220195004734,0.0001,sbvi,0,50,4
38500,-3.542255276932338,0.0001,sbvi,0,50,4
