epoch,ood_ll_var_0.3,temperature,posterior_type,seed,n_train,frequency
0,-89270.2726810323,1e-06,mfvi,0,4,4
500,-3642.90294448825,1e-06,mfvi,0,4,4
1000,-2475.4537007236913,1e-06,mfvi,0,4,4
1500,-3529.9000975673953,1e-06,mfvi,0,4,4
2000,-2823.698252475564,1e-06,mfvi,0,4,4
2500,-2319.741626330734,1e-06,mfvi,0,4,4
3000,-2427.1245996268626,1e-06,mfvi,0,4,4
3500,-2680.3576226574987,1e-06,mfvi,0,4,4
4000,-2803.0364384950435,1e-06,mfvi,0,4,4
4500,-3118.488880604099,1e-06,mfvi,0,4,4
5000,-2620.048888481552,1e-06,mfvi,0,4,4
