epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-54.112855867026745,0.001,mfvi,0,4
10000,0.690263865547932,0.001,mfvi,0,4
20000,0.9757327902710436,0.001,mfvi,0,4
30000,0.964244478896001,0.001,mfvi,0,4
